County Name,Most Recent Date,Total Count Confirmed,Total Count Deaths,COVID-19 Positive Patients,ICU COVID-19 Positive Patients
Alameda,4/1/20,287,8,52,27
Alameda,4/2/20,345,10,57,29
Alameda,4/3/20,395,11,64,32
Alameda,4/4/20,468,12,60,35
Alameda,4/5/20,475,12,72,39
Alameda,4/6/20,527,13,79,43
Alameda,4/7/20,560,14,76,43
Alameda,4/8/20,594,15,84,45
Alameda,4/9/20,641,17,80,44
Alameda,4/10/20,706,26,93,45
Alameda,4/11/20,751,26,87,46
Alameda,4/12/20,774,26,91,42
Alameda,4/13/20,821,31,85,40
Alameda,4/14/20,843,37,92,34
Alameda,4/15/20,915,37,81,34
Alameda,4/16/20,981,44,73,31
Alameda,4/17/20,1043,44,85,35
Alameda,4/18/20,1085,44,82,36
Alameda,4/19/20,1134,44,84,37
Alameda,4/20/20,1181,50,85,38
Alameda,4/21/20,1234,51,85,41
Alameda,4/22/20,1275,53,84,38
Alameda,4/23/20,1336,56,81,37
Alameda,4/24/20,1385,56,79,39
Alameda,4/25/20,1396,56,83,39
Alameda,4/26/20,1449,56,84,42
Alameda,4/27/20,1494,59,81,39
Alameda,4/28/20,1525,59,76,37
Alameda,4/29/20,1564,63,76,33
Alameda,4/30/20,1599,63,74,34
Alameda,5/1/20,1630,63,75,32
Alameda,5/2/20,1678,63,73,31
Alameda,5/3/20,1731,65,73,33
Alameda,5/4/20,1762,65,73,31
Alameda,5/5/20,1819,69,76,28
Alameda,5/6/20,1864,69,78,34
Alameda,5/7/20,1914,69,75,34
Alameda,5/8/20,1955,72,80,38
Alameda,5/9/20,2011,75,81,40
Alameda,5/10/20,2047,75,77,40
Alameda,5/11/20,2103,75,78,36
Alameda,5/12/20,2146,80,79,34
Alameda,5/13/20,2181,80,81,37
Alameda,5/14/20,2255,84,82,37
Alameda,5/15/20,2289,85,76,38
Alameda,5/16/20,2327,85,81,40
Alameda,5/17/20,2389,85,74,38
Alameda,5/18/20,2442,88,87,42
Alameda,5/19/20,2493,88,83,40
Alameda,5/20/20,2554,88,81,39
Alameda,5/21/20,2606,90,77,39
Alameda,5/22/20,2722,90,79,38
Alameda,5/23/20,2783,92,80,41
Alameda,5/24/20,2830,93,88,44
Alameda,5/25/20,2900,93,91,40
Alameda,5/26/20,2956,97,93,37
Alameda,5/27/20,3037,97,95,37
Alameda,5/28/20,3083,102,96,44
Alameda,5/29/20,3209,103,102,42
Alameda,5/30/20,3304,103,105,38
Alpine,4/1/20,1,0,,
Alpine,4/2/20,1,0,,
Alpine,4/3/20,1,0,,
Alpine,4/4/20,1,0,,
Alpine,4/5/20,1,0,,
Alpine,4/6/20,1,0,,
Alpine,4/7/20,1,0,,
Alpine,4/8/20,1,0,,
Alpine,4/9/20,1,0,0,0
Alpine,4/10/20,1,0,0,0
Alpine,4/11/20,1,0,0,0
Alpine,4/12/20,1,0,0,0
Alpine,4/13/20,1,0,0,0
Alpine,4/14/20,1,0,0,0
Alpine,4/15/20,1,0,0,0
Alpine,4/16/20,1,0,0,0
Alpine,4/17/20,1,0,0,0
Alpine,4/18/20,1,0,0,0
Alpine,4/19/20,1,0,0,0
Alpine,4/20/20,1,0,0,0
Alpine,4/21/20,1,0,0,0
Alpine,4/22/20,1,0,0,0
Alpine,4/23/20,1,0,0,0
Alpine,4/24/20,1,0,0,0
Alpine,4/25/20,1,0,0,0
Alpine,4/26/20,1,0,0,0
Alpine,4/27/20,1,0,0,0
Alpine,4/28/20,1,0,0,0
Alpine,4/29/20,1,0,0,0
Alpine,4/30/20,1,0,0,0
Alpine,5/1/20,1,0,0,0
Alpine,5/2/20,1,0,0,0
Alpine,5/3/20,1,0,0,0
Alpine,5/4/20,1,0,0,0
Alpine,5/5/20,1,0,0,0
Alpine,5/6/20,1,0,0,0
Alpine,5/7/20,1,0,0,0
Alpine,5/8/20,1,0,0,0
Alpine,5/9/20,1,0,0,0
Alpine,5/10/20,1,0,0,0
Alpine,5/11/20,1,0,0,0
Alpine,5/12/20,1,0,0,0
Alpine,5/13/20,1,0,0,0
Alpine,5/14/20,1,0,0,0
Alpine,5/15/20,1,0,0,0
Alpine,5/16/20,1,0,0,0
Alpine,5/17/20,1,0,0,0
Alpine,5/18/20,1,0,0,0
Alpine,5/19/20,1,0,0,0
Alpine,5/20/20,1,0,0,0
Alpine,5/21/20,1,0,0,0
Alpine,5/22/20,1,0,0,0
Alpine,5/23/20,1,0,0,0
Alpine,5/24/20,1,0,0,0
Alpine,5/25/20,1,0,0,0
Alpine,5/26/20,1,0,0,0
Alpine,5/27/20,1,0,0,0
Alpine,5/28/20,1,0,0,0
Alpine,5/29/20,1,0,0,0
Alpine,5/30/20,1,0,0,0
Amador,4/1/20,1,0,0,0
Amador,4/2/20,2,0,0,0
Amador,4/3/20,2,0,0,0
Amador,4/4/20,2,0,0,0
Amador,4/5/20,2,0,0,0
Amador,4/6/20,2,0,0,0
Amador,4/7/20,2,0,0,0
Amador,4/8/20,2,0,0,0
Amador,4/9/20,2,0,0,0
Amador,4/10/20,5,0,0,0
Amador,4/11/20,6,0,0,0
Amador,4/12/20,6,0,0,0
Amador,4/13/20,6,0,0,0
Amador,4/14/20,6,0,0,0
Amador,4/15/20,7,0,0,0
Amador,4/16/20,7,0,0,0
Amador,4/17/20,7,0,0,0
Amador,4/18/20,7,0,0,0
Amador,4/19/20,7,0,0,0
Amador,4/20/20,7,0,0,0
Amador,4/21/20,7,0,0,0
Amador,4/22/20,7,0,0,0
Amador,4/23/20,8,0,0,0
Amador,4/24/20,8,0,0,0
Amador,4/25/20,8,0,0,0
Amador,4/26/20,8,0,0,0
Amador,4/27/20,8,0,0,0
Amador,4/28/20,8,0,0,0
Amador,4/29/20,8,0,0,0
Amador,4/30/20,8,0,0,0
Amador,5/1/20,8,0,0,0
Amador,5/2/20,8,0,0,0
Amador,5/3/20,8,0,0,0
Amador,5/4/20,8,0,0,0
Amador,5/5/20,8,0,0,0
Amador,5/6/20,8,0,0,0
Amador,5/7/20,8,0,0,0
Amador,5/8/20,8,0,0,0
Amador,5/9/20,8,0,0,0
Amador,5/10/20,8,0,0,0
Amador,5/11/20,8,0,0,0
Amador,5/12/20,8,0,0,0
Amador,5/13/20,8,0,0,0
Amador,5/14/20,8,0,0,0
Amador,5/15/20,8,0,0,0
Amador,5/16/20,8,0,0,0
Amador,5/17/20,8,0,0,0
Amador,5/18/20,8,0,0,0
Amador,5/19/20,9,0,0,0
Amador,5/20/20,9,0,0,0
Amador,5/21/20,9,0,0,0
Amador,5/22/20,9,0,0,0
Amador,5/23/20,9,0,0,0
Amador,5/24/20,9,0,0,0
Amador,5/25/20,10,0,0,0
Amador,5/26/20,10,0,0,0
Amador,5/27/20,10,0,0,0
Amador,5/28/20,10,0,0,0
Amador,5/29/20,10,0,0,0
Amador,5/30/20,10,0,0,0
Butte,4/1/20,6,0,5,2
Butte,4/2/20,7,0,4,2
Butte,4/3/20,8,0,3,2
Butte,4/4/20,10,0,3,1
Butte,4/5/20,10,0,2,1
Butte,4/6/20,11,0,1,1
Butte,4/7/20,11,0,1,1
Butte,4/8/20,11,0,1,1
Butte,4/9/20,12,0,1,1
Butte,4/10/20,13,0,1,1
Butte,4/11/20,13,0,2,1
Butte,4/12/20,13,0,2,2
Butte,4/13/20,13,0,1,1
Butte,4/14/20,13,0,1,1
Butte,4/15/20,14,0,1,0
Butte,4/16/20,15,0,1,0
Butte,4/17/20,15,0,1,0
Butte,4/18/20,15,0,1,0
Butte,4/19/20,15,0,1,0
Butte,4/20/20,15,0,1,0
Butte,4/21/20,15,0,0,0
Butte,4/22/20,15,0,0,0
Butte,4/23/20,15,0,0,0
Butte,4/24/20,15,0,0,0
Butte,4/25/20,16,0,0,0
Butte,4/26/20,16,0,0,0
Butte,4/27/20,16,0,0,0
Butte,4/28/20,16,0,0,0
Butte,4/29/20,16,0,0,0
Butte,4/30/20,16,0,0,0
Butte,5/1/20,17,0,0,0
Butte,5/2/20,17,0,0,0
Butte,5/3/20,17,0,0,0
Butte,5/4/20,16,0,0,0
Butte,5/5/20,19,0,0,0
Butte,5/6/20,19,0,0,0
Butte,5/7/20,19,0,1,0
Butte,5/8/20,18,0,1,0
Butte,5/9/20,18,0,1,0
Butte,5/10/20,18,0,1,0
Butte,5/11/20,19,0,2,0
Butte,5/12/20,20,0,2,0
Butte,5/13/20,21,0,2,0
Butte,5/14/20,22,0,2,0
Butte,5/15/20,22,0,2,1
Butte,5/16/20,22,0,2,1
Butte,5/17/20,23,0,2,1
Butte,5/18/20,24,0,2,1
Butte,5/19/20,25,0,1,1
Butte,5/20/20,30,0,4,2
Butte,5/21/20,31,0,8,2
Butte,5/22/20,34,0,7,2
Butte,5/23/20,34,0,5,2
Butte,5/24/20,35,0,5,2
Butte,5/25/20,37,0,7,3
Butte,5/26/20,37,0,5,3
Butte,5/27/20,40,0,6,3
Butte,5/28/20,40,0,5,3
Butte,5/29/20,41,0,6,2
Butte,5/30/20,44,0,6,2
Calaveras,4/1/20,3,0,0,0
Calaveras,4/2/20,3,0,0,0
Calaveras,4/3/20,3,0,0,0
Calaveras,4/4/20,3,0,0,0
Calaveras,4/5/20,3,0,0,0
Calaveras,4/6/20,4,0,0,0
Calaveras,4/7/20,5,0,0,0
Calaveras,4/8/20,5,0,0,0
Calaveras,4/9/20,5,0,0,0
Calaveras,4/10/20,5,0,0,0
Calaveras,4/11/20,5,0,0,0
Calaveras,4/12/20,5,0,0,0
Calaveras,4/13/20,5,0,0,0
Calaveras,4/14/20,5,0,0,0
Calaveras,4/15/20,9,0,0,0
Calaveras,4/16/20,10,0,0,0
Calaveras,4/17/20,11,0,0,0
Calaveras,4/18/20,12,0,0,0
Calaveras,4/19/20,12,0,0,0
Calaveras,4/20/20,12,0,0,0
Calaveras,4/21/20,12,0,0,0
Calaveras,4/22/20,12,0,0,0
Calaveras,4/23/20,12,0,0,0
Calaveras,4/24/20,12,0,0,0
Calaveras,4/25/20,12,0,0,0
Calaveras,4/26/20,13,0,0,0
Calaveras,4/27/20,13,0,0,0
Calaveras,4/28/20,13,0,0,0
Calaveras,4/29/20,13,0,0,0
Calaveras,4/30/20,13,0,0,0
Calaveras,5/1/20,13,0,0,0
Calaveras,5/2/20,13,0,0,0
Calaveras,5/3/20,13,0,0,0
Calaveras,5/4/20,13,0,0,0
Calaveras,5/5/20,13,0,0,0
Calaveras,5/6/20,13,0,0,0
Calaveras,5/7/20,13,0,0,0
Calaveras,5/8/20,13,0,0,0
Calaveras,5/9/20,13,0,0,0
Calaveras,5/10/20,13,0,0,0
Calaveras,5/11/20,13,0,0,0
Calaveras,5/12/20,13,0,0,0
Calaveras,5/13/20,13,0,0,0
Calaveras,5/14/20,13,0,0,0
