County,Population (January 2019),Age: 0-5 (2019),Age: 6-17 (2019),Age: 18-64 (2019),Age: 65+ (2019)
Alameda,1669301,113908,235459,1078207,252195
Alpine,1162,39,154,648,305
Amador,38294,1811,3812,21882,10765
Butte,226466,15015,31775,138840,43399
Calaveras,45117,2280,4929,23928,13605
Colusa,22117,1819,4243,13293,3539
Contra Costa,1155879,75329,172284,712517,198572
Del Norte,27401,1758,3884,16575,5085
El Dorado,191848,9960,26654,112044,41685
Fresno,1018241,92179,190819,609436,128960
Glenn,29132,2323,5113,17222,4801
Humboldt,135333,8722,19288,82536,25585
Imperial,190266,18393,35545,111975,25544
Inyo,18593,1187,2638,10208,4508
Kern,916464,82604,173280,556676,105075
Kings,153710,14171,32935,91541,16435
Lake,65071,4538,9208,36445,15061
Lassen,30150,1844,3457,19950,5309
Los Angeles,10253716,714646,1542152,6548834,1519066
Madera,159536,13309,28477,94956,23510
Marin,262879,12991,37403,149241,63014
Mariposa,18068,920,1887,9865,5255
Mendocino,89009,6065,12948,50588,19798
Merced,282928,25109,55649,170962,32553
Modoc,9602,529,1264,5140,2590
Mono,13616,839,1984,8913,2226
Monterey,445414,36909,78750,267555,64250
Napa,140779,8224,20117,85376,27388
Nevada,98904,4876,10847,55160,28250
Orange,3222498,227437,494264,2012439,502780
Placer,396691,22477,53234,235808,82595
Plumas,19779,994,2187,10292,6023
Riverside,2440124,185670,413228,1478550,378705
Sacramento,1546174,118239,245872,965570,223771
San Benito,62296,4380,9710,39059,8633
San Bernardino,2192203,181920,397651,1354200,266655
San Diego,3351786,258743,544174,2055314,509142
San Francisco,883869,51024,82949,608141,153204
San Joaquin,770385,61455,139083,468320,101072
San Luis Obispo,280393,15203,35749,167786,62299
San Mateo,774485,51795,110606,479620,137875
Santa Barbara,454593,33784,69285,283123,70322
Santa Clara,1954286,135848,304577,1240251,295969
Santa Cruz,274871,17218,41638,169910,48272
Shasta,178773,12394,25860,103226,37301
Sierra,3213,158,307,1645,1035
Siskiyou,44584,2714,5831,23825,11731
Solano,441307,31243,68539,270594,74131
Sonoma,500675,27894,66644,303694,106267
Stanislaus,558972,46199,99739,340071,75132
Sutter,97490,7873,16795,59579,15296
Tehama,64387,4810,10202,37118,12621
Trinity,13688,714,1554,7029,4110
Tulare,479112,44207,99296,280429,57872
Tuolumne,54590,2752,5789,29380,14843
Ventura,856598,58505,134554,526694,139592
Yolo,222581,14660,36408,144258,29229
Yuba,77916,7079,14358,46727,10076
