County,Race/Ethnicity: American Indian (2019),Race/Ethnicity: Asian (2019),Race/Ethnicity: Black (2019),Race/Ethnicity: Hispanic (2019),Race/Ethnicity: Multi-Racial/Ethnic (2019),Race/Ethnicity: Hawaiian/ Pacific Island (2019),Race/Ethnicity: White (2019)
Alameda,4849,443972,192977,391815,69855,13634,562667
Alpine,202,6,1,85,22,0,830
Amador,594,454,1024,5311,1021,64,29802
Butte,3361,10141,3666,35848,8801,474,166738
Calaveras,532,589,371,5114,1320,71,36745
Colusa,302,268,166,13215,310,63,8570
Contra Costa,3333,176305,103842,294840,45537,5245,529600
Del Norte,1854,989,886,5046,1038,29,17460
El Dorado,1673,7390,1380,25914,5555,272,148159
Fresno,6610,97763,49562,537390,19553,1219,309297
Glenn,483,713,201,11825,532,21,15684
Humboldt,7091,3241,1611,15153,6004,356,102675
Imperial,1689,2407,4683,156971,1141,96,24470
Inyo,1802,243,117,3958,495,15,11911
Kern,6083,36404,49300,476000,17558,1134,331156
Kings,1329,5390,9762,82410,3610,275,52306
Lake,1654,808,1178,12854,2183,101,46474
Lassen,845,314,2478,5373,822,151,20577
Los Angeles,20410,1395377,832355,5114541,213250,24597,2724168
Madera,1830,2784,5012,92094,2455,112,55965
Marin,600,15521,7027,44751,7704,459,186587
Mariposa,471,223,138,1846,552,30,14667
Mendocino,3595,1495,612,22179,2655,98,58765
Merced,1219,20782,9673,163069,5081,562,83887
Modoc,283,74,75,1436,238,22,7395
Mono,203,202,43,4025,255,12,9222
Monterey,1431,24224,11226,262600,10096,1940,135947
Napa,556,9904,2539,49638,3121,333,75014
Nevada,889,1212,409,9687,2625,106,84205
Orange,6881,589727,49330,1147397,84070,9315,1350200
Placer,2491,25785,5138,53693,12179,810,294018
Plumas,457,142,190,1757,621,18,16311
Riverside,12113,148468,146811,1162158,55285,6736,924582
Sacramento,8822,223884,154814,356886,70916,15511,722619
San Benito,256,1600,464,35453,1036,84,22889
San Bernardino,9015,137980,185107,1125926,48900,6447,687051
San Diego,15324,360173,161578,1149123,108674,14844,1557657
San Francisco,2102,284464,46647,136733,31679,3443,390250
San Joaquin,3575,109101,56396,312861,25802,3813,258382
San Luis Obispo,1475,8968,5274,63673,6705,375,194567
San Mateo,1316,196942,19839,203789,27692,11193,319125
Santa Barbara,1939,21742,7921,209855,10078,800,204179
Santa Clara,4651,648474,46867,540956,63110,7015,665572
Santa Cruz,1053,11682,2514,96384,7594,327,157484
Shasta,4304,4902,1682,16890,6402,265,144336
Sierra,45,14,6,284,66,3,2727
Siskiyou,1590,597,553,5271,1949,79,34062
Solano,1996,63117,62402,115395,23716,3570,174311
Sonoma,3710,19552,7745,134378,13658,1562,323894
Stanislaus,2987,27862,14680,251935,14981,3357,245339
Sutter,965,14702,1858,30919,3288,293,47518
Tehama,1250,671,375,15913,1811,66,44665
Trinity,553,108,52,1093,574,16,11011
Tulare,3492,15316,5892,304967,6567,432,145138
Tuolumne,814,598,990,6084,1452,64,42762
Ventura,2506,57414,13618,368909,19576,1422,395900
Yolo,1257,30834,5457,70582,7983,1080,107362
Yuba,1289,5487,2328,20783,3647,279,44427
