state,county,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
California,,2/15/2020,1,1,19,1,-1,0
California,,2/16/2020,5,0,31,1,-1,-1
California,,2/17/2020,9,1,44,-12,-38,8
California,,2/18/2020,0,0,16,3,0,0
California,,2/19/2020,0,0,13,1,0,0
California,,2/20/2020,2,1,12,1,0,0
California,,2/21/2020,1,0,8,0,1,0
California,,2/22/2020,0,0,-3,-4,1,1
California,,2/23/2020,4,1,16,3,2,0
California,,2/24/2020,2,0,12,1,4,0
California,,2/25/2020,3,1,20,3,3,-1
California,,2/26/2020,5,3,16,3,2,-1
California,,2/27/2020,5,3,14,3,2,-1
California,,2/28/2020,4,4,10,2,3,-1
California,,2/29/2020,4,4,15,1,2,-1
California,,3/1/2020,5,3,-4,-1,1,0
California,,3/2/2020,6,6,8,0,4,-1
California,,3/3/2020,8,9,30,2,3,-1
California,,3/4/2020,4,6,15,-1,2,0
California,,3/5/2020,5,7,11,-1,2,0
California,,3/6/2020,2,5,7,-4,2,0
California,,3/7/2020,0,4,0,-6,2,1
California,,3/8/2020,2,3,11,-4,1,0
California,,3/9/2020,3,6,12,-7,1,1
California,,3/10/2020,-1,4,-10,-13,-3,3
California,,3/11/2020,3,9,12,-10,-3,2
California,,3/12/2020,-3,13,-15,-18,-6,4
California,,3/13/2020,-3,31,-20,-21,-8,5
California,,3/14/2020,-13,23,-37,-24,-6,6
California,,3/15/2020,-16,11,-25,-23,-8,6
California,,3/16/2020,-12,21,-27,-31,-24,11
California,,3/17/2020,-23,11,-12,-34,-33,14
California,,3/18/2020,-29,4,-20,-39,-38,17
California,,3/19/2020,-32,3,-20,-43,-40,18
California,,3/20/2020,-40,-3,-22,-46,-44,21
California,,3/21/2020,-48,-13,-22,-47,-33,16
California,,3/22/2020,-50,-22,-24,-52,-36,14
California,,3/23/2020,-41,-18,-28,-52,-49,21
California,,3/24/2020,-42,-18,-31,-52,-50,22
California,,3/25/2020,-42,-19,-30,-52,-51,22
California,,3/26/2020,-42,-18,-28,-53,-51,23
California,,3/27/2020,-44,-17,-29,-54,-50,24
California,,3/28/2020,-50,-20,-48,-53,-37,18
California,,3/29/2020,-50,-24,-38,-54,-39,15
California,,3/30/2020,-40,-20,-24,-53,-51,21
California,,3/31/2020,-40,-18,-23,-52,-53,22
California,,4/1/2020,-39,-14,-25,-51,-52,22
California,,4/2/2020,-41,-15,-30,-54,-53,23
California,,4/3/2020,-42,-12,-31,-53,-51,23
California,,4/4/2020,-50,-18,-54,-54,-39,18
California,,4/5/2020,-53,-27,-61,-59,-42,16
California,,4/6/2020,-46,-23,-54,-60,-54,24
California,,4/7/2020,-47,-23,-41,-57,-55,24
California,,4/8/2020,-47,-22,-43,-58,-55,24
California,,4/9/2020,-49,-24,-54,-62,-56,26
California,,4/10/2020,-47,-19,-44,-59,-56,26
California,,4/11/2020,-48,-14,-46,-53,-40,18
California,,4/12/2020,-62,-34,-55,-58,-44,16
California,,4/13/2020,-45,-25,-36,-55,-52,22
California,,4/14/2020,-43,-21,-25,-52,-52,22
California,,4/15/2020,-45,-17,-28,-51,-52,22
California,,4/16/2020,-54,-16,-34,-53,-52,23
California,,4/17/2020,-56,-17,-39,-54,-50,24
California,,4/18/2020,-59,-18,-47,-50,-35,17
California,,4/19/2020,-59,-21,-39,-52,-37,14
California,,4/20/2020,-54,-19,-34,-53,-50,21
California,,4/21/2020,-53,-17,-25,-52,-51,21
California,,4/22/2020,-53,-16,-25,-52,-51,22
California,,4/23/2020,-53,-15,-28,-52,-51,22
California,,4/24/2020,-54,-14,-29,-52,-50,23
California,,4/25/2020,-56,-13,-35,-47,-34,15
California,,4/26/2020,-56,-17,-31,-50,-36,13
California,,4/27/2020,-51,-15,-23,-51,-49,20
California,,4/28/2020,-51,-14,-19,-49,-50,13
California,,4/29/2020,-49,-15,-27,-50,-50,21
California,,4/30/2020,-47,-12,-24,-50,-50,21
California,,5/1/2020,-47,-9,-23,-48,-48,21
California,,5/2/2020,-50,-8,-30,-43,-32,14
California,,5/3/2020,-50,-12,-21,-45,-32,12
California,,5/4/2020,-44,-10,-17,-48,-47,19
California,,5/5/2020,-44,-6,-14,-46,-48,19
California,,5/6/2020,-46,-10,-17,-47,-48,20
California,,5/7/2020,-46,-8,-18,-48,-49,20
California,,5/8/2020,-46,-5,-18,-46,-46,20
California,,5/9/2020,-46,4,-23,-40,-29,12
California,,5/10/2020,-47,0,-22,-40,-28,9
California,,5/11/2020,-45,-14,-20,-48,-46,18
California,,5/12/2020,-45,-10,-17,-46,-47,19
California,,5/13/2020,-44,-10,-16,-46,-47,19
California,,5/14/2020,-45,-10,-17,-47,-47,19
California,,5/15/2020,-45,-9,-11,-46,-45,19
California,,5/16/2020,-47,-7,-14,-41,-27,12
California,,5/17/2020,-47,-13,-16,-44,-28,11
California,,5/18/2020,-43,-13,-24,-49,-45,18
California,,5/19/2020,-42,-9,-7,-46,-45,18
California,,5/20/2020,-41,-7,-4,-45,-45,18
California,,5/21/2020,-40,-6,-5,-45,-45,18
California,,5/22/2020,-41,-4,-3,-43,-43,18
California,,5/23/2020,-44,-3,-4,-38,-24,10
California,,5/24/2020,-43,-6,13,-39,-26,8
California,,5/25/2020,-43,-8,32,-51,-72,22
California,,5/26/2020,-40,-8,-3,-44,-43,16
California,,5/27/2020,-39,-8,-4,-44,-43,17
California,,5/28/2020,-39,-7,-7,-44,-43,17
California,,5/29/2020,-40,-8,-9,-43,-41,17
California,,5/30/2020,-42,-7,-14,-38,-17,11
California,,5/31/2020,-43,-13,-5,-40,-19,9
California,,6/1/2020,-41,-12,-16,-45,-42,17
California,,6/2/2020,-39,-6,-8,-44,-42,17
California,,6/3/2020,-36,-3,-5,-43,-42,16
California,,6/4/2020,-35,-3,-6,-43,-42,16
California,,6/5/2020,-36,-5,-10,-42,-40,16
California,,6/6/2020,-37,-4,-6,-35,-17,9
California,,6/7/2020,-35,-7,7,-35,-18,8
California,,6/8/2020,-32,-7,3,-41,-40,14
California,,6/9/2020,-32,-4,10,-41,-40,15
California,,6/10/2020,-31,-5,7,-41,-41,15
California,,6/11/2020,-31,-5,4,-40,-41,15
California,,6/12/2020,-32,-6,2,-39,-39,14
California,,6/13/2020,-34,-4,7,-31,-15,7
California,,6/14/2020,-32,-8,19,-31,-16,6
California,,6/15/2020,-29,-8,7,-39,-39,13
California,,6/16/2020,-29,-5,15,-38,-40,14
California,,6/17/2020,-29,-6,12,-38,-41,14
California,,6/18/2020,-28,-5,9,-39,-41,14
California,,6/19/2020,-30,-4,9,-38,-40,12
California,,6/20/2020,-31,1,6,-32,-14,7
California,,6/21/2020,-32,-4,10,-34,-14,5
California,,6/22/2020,-29,-11,8,-40,-42,13
California,Alameda,2/15/2020,1,0,22,1,0,-1
California,Alameda,2/16/2020,7,0,24,5,1,-2
California,Alameda,2/17/2020,13,1,55,-31,-53,11
California,Alameda,2/18/2020,-2,3,21,3,0,0
California,Alameda,2/19/2020,-1,0,14,1,0,0
California,Alameda,2/20/2020,1,1,13,2,0,0
California,Alameda,2/21/2020,1,1,8,-1,3,0
California,Alameda,2/22/2020,1,3,18,-2,4,-1
California,Alameda,2/23/2020,4,4,26,15,3,-1
California,Alameda,2/24/2020,0,0,9,0,4,0
California,Alameda,2/25/2020,1,2,26,5,3,-1
California,Alameda,2/26/2020,2,2,20,3,2,-1
California,Alameda,2/27/2020,4,4,23,4,2,-1
California,Alameda,2/28/2020,3,5,8,0,4,0
California,Alameda,2/29/2020,2,7,14,-4,3,-1
California,Alameda,3/1/2020,6,9,15,1,4,0
California,Alameda,3/2/2020,4,7,7,-1,3,0
California,Alameda,3/3/2020,5,12,41,0,1,-1
California,Alameda,3/4/2020,1,6,23,-3,1,0
California,Alameda,3/5/2020,1,6,12,-5,-1,1
California,Alameda,3/6/2020,1,5,-1,-7,0,2
California,Alameda,3/7/2020,-6,4,-23,-14,1,3
California,Alameda,3/8/2020,-2,4,14,-8,1,1
California,Alameda,3/9/2020,0,6,18,-15,-6,4
California,Alameda,3/10/2020,-1,8,29,-15,-9,4
California,Alameda,3/11/2020,-1,7,31,-18,-12,5
California,Alameda,3/12/2020,-1,16,26,-25,-16,7
California,Alameda,3/13/2020,-6,26,3,-30,-17,8
California,Alameda,3/14/2020,-25,11,-55,-39,-8,9
California,Alameda,3/15/2020,-25,6,-41,-36,-11,8
California,Alameda,3/16/2020,-6,39,-18,-44,-36,14
California,Alameda,3/17/2020,-44,-4,-10,-61,-59,26
California,Alameda,3/18/2020,-46,-10,-10,-64,-60,27
California,Alameda,3/19/2020,-45,-9,16,-66,-61,27
California,Alameda,3/20/2020,-49,-10,0,-65,-59,28
California,Alameda,3/21/2020,-58,-18,-10,-60,-39,18
California,Alameda,3/22/2020,-57,-24,-1,-61,-40,15
California,Alameda,3/23/2020,-49,-23,-23,-71,-63,28
California,Alameda,3/24/2020,-51,-21,-33,-72,-65,30
California,Alameda,3/25/2020,-49,-20,-4,-70,-64,29
California,Alameda,3/26/2020,-49,-19,-2,-71,-64,29
California,Alameda,3/27/2020,-52,-20,-11,-70,-62,30
California,Alameda,3/28/2020,-61,-26,-49,-68,-44,20
California,Alameda,3/29/2020,-58,-27,-14,-64,-44,17
California,Alameda,3/30/2020,-48,-23,-1,-71,-64,27
California,Alameda,3/31/2020,-48,-18,6,-70,-66,28
California,Alameda,4/1/2020,-48,-18,0,-70,-65,28
California,Alameda,4/2/2020,-49,-18,-1,-72,-66,29
California,Alameda,4/3/2020,-51,-17,-10,-70,-64,30
California,Alameda,4/4/2020,-62,-28,-60,-69,-47,21
California,Alameda,4/5/2020,-65,-36,-61,-72,-49,18
California,Alameda,4/6/2020,-53,-29,-46,-75,-67,30
California,Alameda,4/7/2020,-50,-20,4,-70,-66,29
California,Alameda,4/8/2020,-53,-24,-13,-71,-66,29
California,Alameda,4/9/2020,-53,-23,-11,-72,-67,30
California,Alameda,4/10/2020,-53,-21,-6,-70,-65,31
California,Alameda,4/11/2020,-59,-23,-30,-65,-45,19
California,Alameda,4/12/2020,-67,-38,-22,-65,-46,16
California,Alameda,4/13/2020,-51,-28,-2,-70,-65,28
California,Alameda,4/14/2020,-50,-23,12,-68,-65,29
California,Alameda,4/15/2020,-54,-22,3,-68,-64,28
California,Alameda,4/16/2020,-64,-22,-8,-71,-65,30
California,Alameda,4/17/2020,-65,-21,-15,-70,-62,30
California,Alameda,4/18/2020,-69,-21,-12,-61,-40,18
California,Alameda,4/19/2020,-68,-27,-3,-63,-41,15
California,Alameda,4/20/2020,-63,-25,-13,-70,-64,28
California,Alameda,4/21/2020,-63,-21,6,-70,-64,29
California,Alameda,4/22/2020,-63,-23,10,-69,-64,28
California,Alameda,4/23/2020,-62,-21,10,-70,-64,29
California,Alameda,4/24/2020,-64,-20,5,-68,-61,29
California,Alameda,4/25/2020,-67,-21,-3,-60,-39,18
California,Alameda,4/26/2020,-66,-23,7,-61,-40,15
California,Alameda,4/27/2020,-61,-23,3,-68,-62,27
California,Alameda,4/28/2020,-61,-19,11,-67,-64,20
California,Alameda,4/29/2020,-60,-23,-4,-67,-63,28
California,Alameda,4/30/2020,-57,-20,8,-68,-63,28
California,Alameda,5/1/2020,-57,-16,3,-65,-60,28
California,Alameda,5/2/2020,-62,-18,-7,-58,-37,17
California,Alameda,5/3/2020,-60,-20,18,-57,-36,14
California,Alameda,5/4/2020,-54,-19,6,-67,-60,26
California,Alameda,5/5/2020,-54,-13,14,-66,-61,26
California,Alameda,5/6/2020,-55,-17,16,-66,-61,26
California,Alameda,5/7/2020,-55,-14,19,-66,-61,27
California,Alameda,5/8/2020,-56,-11,10,-64,-57,26
California,Alameda,5/9/2020,-58,-6,6,-54,-33,14
California,Alameda,5/10/2020,-58,-11,4,-54,-32,11
California,Alameda,5/11/2020,-56,-24,-20,-68,-59,26
California,Alameda,5/12/2020,-55,-14,3,-66,-60,26
California,Alameda,5/13/2020,-54,-17,-2,-65,-59,26
California,Alameda,5/14/2020,-54,-15,4,-67,-60,26
California,Alameda,5/15/2020,-55,-14,14,-65,-56,25
California,Alameda,5/16/2020,-58,-15,18,-56,-31,14
California,Alameda,5/17/2020,-59,-22,-6,-60,-31,14
California,Alameda,5/18/2020,-52,-18,1,-68,-58,25
California,Alameda,5/19/2020,-51,-13,16,-66,-58,25
California,Alameda,5/20/2020,-50,-14,19,-65,-57,25
California,Alameda,5/21/2020,-49,-11,26,-65,-58,25
California,Alameda,5/22/2020,-50,-8,25,-63,-54,24
California,Alameda,5/23/2020,-55,-11,24,-54,-27,13
California,Alameda,5/24/2020,-53,-15,38,-53,-28,10
California,Alameda,5/25/2020,-52,-15,55,-72,-79,27
California,Alameda,5/26/2020,-48,-11,23,-65,-56,24
California,Alameda,5/27/2020,-48,-13,19,-64,-55,24
California,Alameda,5/28/2020,-48,-11,25,-64,-55,24
California,Alameda,5/29/2020,-50,-12,21,-60,-52,24
California,Alameda,5/30/2020,-56,-17,-1,-54,-20,14
California,Alameda,5/31/2020,-55,-21,24,-50,-21,12
California,Alameda,6/1/2020,-53,-21,7,-63,-56,24
California,Alameda,6/2/2020,-53,-15,16,-65,-56,25
California,Alameda,6/3/2020,-51,-13,13,-63,-55,24
California,Alameda,6/4/2020,-50,-11,23,-64,-55,24
California,Alameda,6/5/2020,-52,-11,11,-62,-51,23
California,Alameda,6/6/2020,-55,-11,24,-52,-19,12
California,Alameda,6/7/2020,-53,-17,32,-50,-21,10
California,Alameda,6/8/2020,-47,-14,26,-61,-53,22
California,Alameda,6/9/2020,-47,-9,40,-61,-54,22
California,Alameda,6/10/2020,-47,-13,37,-61,-53,22
California,Alameda,6/11/2020,-47,-14,37,-62,-54,23
California,Alameda,6/12/2020,-49,-15,20,-60,-50,22
California,Alameda,6/13/2020,-52,-14,33,-49,-16,10
California,Alameda,6/14/2020,-52,-20,43,-48,-18,9
California,Alameda,6/15/2020,-46,-20,23,-60,-52,21
California,Alameda,6/16/2020,-46,-14,44,-60,-53,21
California,Alameda,6/17/2020,-46,-15,40,-61,-53,21
California,Alameda,6/18/2020,-44,-12,39,-61,-54,21
California,Alameda,6/19/2020,-45,-10,56,-57,-50,19
California,Alameda,6/20/2020,-50,-10,32,-49,-14,9
California,Alameda,6/21/2020,-50,-15,35,-47,-14,7
California,Alameda,6/22/2020,-44,-19,26,-60,-54,20
California,Amador,2/15/2020,13,2,,,-3,
California,Amador,2/16/2020,32,6,,,3,
California,Amador,2/17/2020,17,5,,,-33,
California,Amador,2/18/2020,3,1,,,4,-1
California,Amador,2/19/2020,6,2,,,0,0
California,Amador,2/20/2020,13,3,,,0,-1
California,Amador,2/21/2020,1,5,,,1,-1
California,Amador,2/22/2020,10,1,,,-6,
California,Amador,2/23/2020,11,2,,,0,
California,Amador,2/24/2020,5,9,,,2,0
California,Amador,2/25/2020,13,2,,,6,-1
California,Amador,2/26/2020,14,1,,,0,-1
California,Amador,2/27/2020,10,7,,,3,-2
California,Amador,2/28/2020,11,5,,,5,-2
California,Amador,2/29/2020,13,0,,,1,
California,Amador,3/1/2020,10,4,,,1,
California,Amador,3/2/2020,10,9,,,5,-1
California,Amador,3/3/2020,16,10,,,7,-2
California,Amador,3/4/2020,12,3,,,2,-1
California,Amador,3/5/2020,13,5,,,5,-2
California,Amador,3/6/2020,5,7,,,3,0
California,Amador,3/7/2020,7,3,,,-3,
California,Amador,3/8/2020,21,6,,,3,
California,Amador,3/9/2020,4,10,,,5,1
California,Amador,3/10/2020,9,7,,,9,0
California,Amador,3/11/2020,8,6,,,2,0
California,Amador,3/12/2020,13,16,,,2,-1
California,Amador,3/13/2020,8,25,,,2,0
California,Amador,3/14/2020,-5,10,,,-6,
California,Amador,3/15/2020,-20,4,,,-12,
California,Amador,3/16/2020,-17,13,,,-26,
California,Amador,3/17/2020,-10,20,,,-23,
California,Amador,3/18/2020,-12,16,,,-29,
California,Amador,3/19/2020,-15,16,,,-31,
California,Amador,3/20/2020,-32,7,,,-37,
California,Amador,3/21/2020,-44,-5,,,-32,
California,Amador,3/22/2020,-41,-15,,,-39,
California,Amador,3/23/2020,-36,-6,,,-40,
California,Amador,3/24/2020,-35,-8,,,-39,
California,Amador,3/25/2020,-34,-19,,,-41,
California,Amador,3/26/2020,-30,-8,,,-43,
California,Amador,3/27/2020,-32,-2,,,-38,
California,Amador,3/28/2020,-46,-17,-50,,-41,
California,Amador,3/29/2020,-41,-20,,,-44,
California,Amador,3/30/2020,-32,-5,,,-39,
California,Amador,3/31/2020,-25,3,,,-41,
California,Amador,4/1/2020,-27,-11,,,-39,
California,Amador,4/2/2020,-27,-5,,,-40,
California,Amador,4/3/2020,-32,-15,,,-41,
California,Amador,4/4/2020,-49,-30,-64,,-41,
California,Amador,4/5/2020,-56,-44,,,-52,
California,Amador,4/6/2020,-41,,,,-45,
California,Amador,4/7/2020,,,,,-42,
California,Amador,4/8/2020,,-31,,,-43,
California,Amador,4/9/2020,-33,,,,-45,
California,Amador,4/10/2020,-40,-25,,,-46,
California,Amador,4/11/2020,-35,-26,,,-39,
California,Amador,4/12/2020,-62,-40,,,-52,
California,Amador,4/13/2020,-28,-10,,,-43,
California,Amador,4/14/2020,,-5,,,-41,
California,Amador,4/15/2020,-18,-1,,,-41,
California,Amador,4/16/2020,-30,2,,,-41,
California,Amador,4/17/2020,-38,0,,,-44,
California,Amador,4/18/2020,-38,-5,-41,,-41,
California,Amador,4/19/2020,-33,-8,,,-43,
California,Amador,4/20/2020,-35,-3,,,-41,
California,Amador,4/21/2020,-34,1,,,-38,
California,Amador,4/22/2020,-27,-1,,,-39,
California,Amador,4/23/2020,-31,4,,,-40,
California,Amador,4/24/2020,-34,-3,,,-44,
California,Amador,4/25/2020,-35,-1,,,-39,
California,Amador,4/26/2020,-30,1,,,-43,
California,Amador,4/27/2020,-29,0,,,-37,
California,Amador,4/28/2020,-27,0,,,-36,
California,Amador,4/29/2020,-27,4,,,-37,
California,Amador,4/30/2020,-24,11,,,-40,
California,Amador,5/1/2020,-26,9,,,-39,
California,Amador,5/2/2020,-28,0,,,-35,
California,Amador,5/3/2020,-19,6,,,-37,
California,Amador,5/4/2020,-23,7,,,-36,
California,Amador,5/5/2020,,15,,,-36,
California,Amador,5/6/2020,-23,6,,,-36,
California,Amador,5/7/2020,-20,16,,,-36,
California,Amador,5/8/2020,-27,8,,,-37,
California,Amador,5/9/2020,-18,25,,,-34,
California,Amador,5/10/2020,-19,,,,-37,
California,Amador,5/11/2020,-25,0,,,-34,
California,Amador,5/12/2020,,2,,,-32,
California,Amador,5/13/2020,-20,3,,,-33,
California,Amador,5/14/2020,-15,13,,,-35,
California,Amador,5/15/2020,-20,9,,,-32,
California,Amador,5/16/2020,-19,12,,,-30,
California,Amador,5/17/2020,-26,-5,,,-36,
California,Amador,5/18/2020,-25,0,,,-35,
California,Amador,5/19/2020,-15,3,,,-29,
California,Amador,5/20/2020,-14,5,,,-31,
California,Amador,5/21/2020,-10,14,,,-31,
California,Amador,5/22/2020,-11,13,,,-32,
California,Amador,5/23/2020,-11,20,,,-25,
California,Amador,5/24/2020,1,22,,,-31,
California,Amador,5/25/2020,-12,4,,,-60,
California,Amador,5/26/2020,-8,11,,,-28,
California,Amador,5/27/2020,-14,8,,,-31,
California,Amador,5/28/2020,-13,13,,,-30,
California,Amador,5/29/2020,-14,11,,,-28,
California,Amador,5/30/2020,-18,8,,,-21,
California,Amador,5/31/2020,-5,7,,,-25,
California,Amador,6/1/2020,-5,11,,,-29,
California,Amador,6/2/2020,-4,15,,,-26,
California,Amador,6/3/2020,-8,8,,,-27,
California,Amador,6/4/2020,-9,17,,,-27,
California,Amador,6/5/2020,-11,14,,,-25,
California,Amador,6/6/2020,-11,16,,,-23,
California,Amador,6/7/2020,-1,17,,,-26,
California,Amador,6/8/2020,-6,13,,,-27,
California,Amador,6/9/2020,-1,18,,,-26,
California,Amador,6/10/2020,1,6,,,-27,
California,Amador,6/11/2020,5,11,,,-28,
California,Amador,6/12/2020,-4,7,,,-27,
California,Amador,6/13/2020,-3,9,,,-18,
California,Amador,6/14/2020,13,8,,,-19,
California,Amador,6/15/2020,3,6,,,-30,
California,Amador,6/16/2020,11,14,,,-23,
California,Amador,6/17/2020,8,10,,,-27,
California,Amador,6/18/2020,5,20,,,-27,
California,Amador,6/19/2020,1,14,,,-26,
California,Amador,6/20/2020,1,18,,,-14,
California,Amador,6/21/2020,10,18,,,-20,
California,Amador,6/22/2020,3,5,,,-30,
California,Butte,2/15/2020,4,5,28,-4,-2,-1
California,Butte,2/16/2020,9,6,41,-8,0,-1
California,Butte,2/17/2020,4,0,36,-13,-27,6
California,Butte,2/18/2020,3,5,26,1,0,-1
California,Butte,2/19/2020,2,7,22,-2,-1,0
California,Butte,2/20/2020,4,1,18,3,-1,-1
California,Butte,2/21/2020,3,2,16,4,2,0
California,Butte,2/22/2020,7,5,40,7,2,-1
California,Butte,2/23/2020,10,6,49,-9,2,-1
California,Butte,2/24/2020,4,4,21,-2,8,-1
California,Butte,2/25/2020,4,1,30,5,4,-1
California,Butte,2/26/2020,7,6,36,4,3,-1
California,Butte,2/27/2020,9,8,36,-1,3,-2
California,Butte,2/28/2020,8,10,22,3,6,-1
California,Butte,2/29/2020,10,11,41,-3,2,-1
California,Butte,3/1/2020,14,12,34,-8,5,-1
California,Butte,3/2/2020,8,13,16,-4,8,-1
California,Butte,3/3/2020,13,14,31,5,4,-2
California,Butte,3/4/2020,9,10,40,-14,3,-1
California,Butte,3/5/2020,8,11,29,-4,2,-2
California,Butte,3/6/2020,6,5,13,-2,6,0
California,Butte,3/7/2020,8,4,-5,-1,-1,1
California,Butte,3/8/2020,8,7,25,-13,3,0
California,Butte,3/9/2020,5,8,26,-4,6,0
California,Butte,3/10/2020,5,11,41,0,3,-1
California,Butte,3/11/2020,5,12,37,-7,1,-1
California,Butte,3/12/2020,6,14,32,-2,0,-1
California,Butte,3/13/2020,2,16,14,-4,-1,1
California,Butte,3/14/2020,-6,11,-17,-9,-4,3
California,Butte,3/15/2020,-10,5,-27,-30,-7,4
California,Butte,3/16/2020,-5,15,-22,-29,-17,6
California,Butte,3/17/2020,-18,5,-32,-35,-25,9
California,Butte,3/18/2020,-20,2,-15,-32,-28,9
California,Butte,3/19/2020,-17,9,28,-32,-30,9
California,Butte,3/20/2020,-31,2,-10,-39,-34,14
California,Butte,3/21/2020,-38,-3,-10,-37,-24,9
California,Butte,3/22/2020,-39,-7,9,-38,-29,8
California,Butte,3/23/2020,-35,-12,-25,-45,-36,14
California,Butte,3/24/2020,-40,-16,-47,-53,-42,16
California,Butte,3/25/2020,-40,-15,-29,-52,-43,16
