county,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Alameda,2/15/2020,1,0,22,1,0,-1
Alameda,2/16/2020,7,0,24,5,1,-2
Alameda,2/17/2020,13,1,55,-31,-53,11
Alameda,2/18/2020,-2,3,21,3,0,0
Alameda,2/19/2020,-1,0,14,1,0,0
Alameda,2/20/2020,1,1,13,2,0,0
Alameda,2/21/2020,1,1,8,-1,3,0
Alameda,2/22/2020,1,3,18,-2,4,-1
Alameda,2/23/2020,4,4,26,15,3,-1
Alameda,2/24/2020,0,0,9,0,4,0
Alameda,2/25/2020,1,2,26,5,3,-1
Alameda,2/26/2020,2,2,20,3,2,-1
Alameda,2/27/2020,4,4,23,4,2,-1
Alameda,2/28/2020,3,5,8,0,4,0
Alameda,2/29/2020,2,7,14,-4,3,-1
Alameda,3/1/2020,6,9,15,1,4,0
Alameda,3/2/2020,4,7,7,-1,3,0
Alameda,3/3/2020,5,12,41,0,1,-1
Alameda,3/4/2020,1,6,23,-3,1,0
Alameda,3/5/2020,1,6,12,-5,-1,1
Alameda,3/6/2020,1,5,-1,-7,0,2
Alameda,3/7/2020,-6,4,-23,-14,1,3
Alameda,3/8/2020,-2,4,14,-8,1,1
Alameda,3/9/2020,0,6,18,-15,-6,4
Alameda,3/10/2020,-1,8,29,-15,-9,4
Alameda,3/11/2020,-1,7,31,-18,-12,5
Alameda,3/12/2020,-1,16,26,-25,-16,7
Alameda,3/13/2020,-6,26,3,-30,-17,8
Alameda,3/14/2020,-25,11,-55,-39,-8,9
Alameda,3/15/2020,-25,6,-41,-36,-11,8
Alameda,3/16/2020,-6,39,-18,-44,-36,14
Alameda,3/17/2020,-44,-4,-10,-61,-59,26
Alameda,3/18/2020,-46,-10,-10,-64,-60,27
Alameda,3/19/2020,-45,-9,16,-66,-61,27
Alameda,3/20/2020,-49,-10,0,-65,-59,28
Alameda,3/21/2020,-58,-18,-10,-60,-39,18
Alameda,3/22/2020,-57,-24,-1,-61,-40,15
Alameda,3/23/2020,-49,-23,-23,-71,-63,28
Alameda,3/24/2020,-51,-21,-33,-72,-65,30
Alameda,3/25/2020,-49,-20,-4,-70,-64,29
Alameda,3/26/2020,-49,-19,-2,-71,-64,29
Alameda,3/27/2020,-52,-20,-11,-70,-62,30
Alameda,3/28/2020,-61,-26,-49,-68,-44,20
Alameda,3/29/2020,-58,-27,-14,-64,-44,17
Alameda,3/30/2020,-48,-23,-1,-71,-64,27
Alameda,3/31/2020,-48,-18,6,-70,-66,28
Alameda,4/1/2020,-48,-18,0,-70,-65,28
Alameda,4/2/2020,-49,-18,-1,-72,-66,29
Alameda,4/3/2020,-51,-17,-10,-70,-64,30
Alameda,4/4/2020,-62,-28,-60,-69,-47,21
Alameda,4/5/2020,-65,-36,-61,-72,-49,18
Alameda,4/6/2020,-53,-29,-46,-75,-67,30
Alameda,4/7/2020,-50,-20,4,-70,-66,29
Alameda,4/8/2020,-53,-24,-13,-71,-66,29
Alameda,4/9/2020,-53,-23,-11,-72,-67,30
Alameda,4/10/2020,-53,-21,-6,-70,-65,31
Alameda,4/11/2020,-59,-23,-30,-65,-45,19
Alameda,4/12/2020,-67,-38,-22,-65,-46,16
Alameda,4/13/2020,-51,-28,-2,-70,-65,28
Alameda,4/14/2020,-50,-23,12,-68,-65,29
Alameda,4/15/2020,-54,-22,3,-68,-64,28
Alameda,4/16/2020,-64,-22,-8,-71,-65,30
Alameda,4/17/2020,-65,-21,-15,-70,-62,30
Alameda,4/18/2020,-69,-21,-12,-61,-40,18
Alameda,4/19/2020,-68,-27,-3,-63,-41,15
Alameda,4/20/2020,-63,-25,-13,-70,-64,28
Alameda,4/21/2020,-63,-21,6,-70,-64,29
Alameda,4/22/2020,-63,-23,10,-69,-64,28
Alameda,4/23/2020,-62,-21,10,-70,-64,29
Alameda,4/24/2020,-64,-20,5,-68,-61,29
Alameda,4/25/2020,-67,-21,-3,-60,-39,18
Alameda,4/26/2020,-66,-23,7,-61,-40,15
Alameda,4/27/2020,-61,-23,3,-68,-62,27
Alameda,4/28/2020,-61,-19,11,-67,-64,20
Alameda,4/29/2020,-60,-23,-4,-67,-63,28
Alameda,4/30/2020,-57,-20,8,-68,-63,28
Alameda,5/1/2020,-57,-16,3,-65,-60,28
Alameda,5/2/2020,-62,-18,-7,-58,-37,17
Alameda,5/3/2020,-60,-20,18,-57,-36,14
Alameda,5/4/2020,-54,-19,6,-67,-60,26
Alameda,5/5/2020,-54,-13,14,-66,-61,26
Alameda,5/6/2020,-55,-17,16,-66,-61,26
Alameda,5/7/2020,-55,-14,19,-66,-61,27
Alameda,5/8/2020,-56,-11,10,-64,-57,26
Alameda,5/9/2020,-58,-6,6,-54,-33,14
Alameda,5/10/2020,-58,-11,4,-54,-32,11
Alameda,5/11/2020,-56,-24,-20,-68,-59,26
Alameda,5/12/2020,-55,-14,3,-66,-60,26
Alameda,5/13/2020,-54,-17,-2,-65,-59,26
Alameda,5/14/2020,-54,-15,4,-67,-60,26
Alameda,5/15/2020,-55,-14,14,-65,-56,25
Alameda,5/16/2020,-58,-15,18,-56,-31,14
Alameda,5/17/2020,-59,-22,-6,-60,-31,14
Alameda,5/18/2020,-52,-18,1,-68,-58,25
Alameda,5/19/2020,-51,-13,16,-66,-58,25
Alameda,5/20/2020,-50,-14,19,-65,-57,25
Alameda,5/21/2020,-49,-11,26,-65,-58,25
Alameda,5/22/2020,-50,-8,25,-63,-54,24
Alameda,5/23/2020,-55,-11,24,-54,-27,13
Alameda,5/24/2020,-53,-15,38,-53,-28,10
Alameda,5/25/2020,-52,-15,55,-72,-79,27
Alameda,5/26/2020,-48,-11,23,-65,-56,24
Alameda,5/27/2020,-48,-13,19,-64,-55,24
Alameda,5/28/2020,-48,-11,25,-64,-55,24
Alameda,5/29/2020,-50,-12,21,-60,-52,24
Amador,2/15/2020,13,2,,,-3,
Amador,2/16/2020,32,6,,,3,
Amador,2/17/2020,17,5,,,-33,
Amador,2/18/2020,3,1,,,4,-1
Amador,2/19/2020,6,2,,,0,0
Amador,2/20/2020,13,3,,,0,-1
Amador,2/21/2020,1,5,,,1,-1
Amador,2/22/2020,10,1,,,-6,
Amador,2/23/2020,11,2,,,0,
Amador,2/24/2020,5,9,,,2,0
Amador,2/25/2020,13,2,,,6,-1
Amador,2/26/2020,14,1,,,0,-1
Amador,2/27/2020,10,7,,,3,-2
Amador,2/28/2020,11,5,,,5,-2
Amador,2/29/2020,13,0,,,1,
Amador,3/1/2020,10,4,,,1,
Amador,3/2/2020,10,9,,,5,-1
Amador,3/3/2020,16,10,,,7,-2
