County,Date,Index
Alameda,1/13/2020,100
Amador,1/13/2020,100
Butte,1/13/2020,100
Calaveras,1/13/2020,100
Colusa,1/13/2020,100
Contra Costa,1/13/2020,100
Del Norte,1/13/2020,100
El Dorado,1/13/2020,100
Fresno,1/13/2020,100
Glenn,1/13/2020,100
Humboldt,1/13/2020,100
Imperial,1/13/2020,100
Inyo,1/13/2020,100
Kern,1/13/2020,100
Kings,1/13/2020,100
Lake,1/13/2020,100
Lassen,1/13/2020,100
Los Angeles,1/13/2020,100
Madera,1/13/2020,100
Marin,1/13/2020,100
Mariposa,1/13/2020,100
Mendocino,1/13/2020,100
Merced,1/13/2020,100
Mono,1/13/2020,100
Monterey,1/13/2020,100
Napa,1/13/2020,100
Nevada,1/13/2020,100
Orange,1/13/2020,100
Placer,1/13/2020,100
Riverside,1/13/2020,100
Sacramento,1/13/2020,100
San Benito,1/13/2020,100
San Bernardino,1/13/2020,100
San Diego,1/13/2020,100
San Francisco,1/13/2020,100
San Joaquin,1/13/2020,100
San Luis Obispo,1/13/2020,100
San Mateo,1/13/2020,100
Santa Barbara,1/13/2020,100
Santa Clara,1/13/2020,100
Santa Cruz,1/13/2020,100
Shasta,1/13/2020,100
Siskiyou,1/13/2020,100
Solano,1/13/2020,100
Sonoma,1/13/2020,100
Stanislaus,1/13/2020,100
Sutter,1/13/2020,100
Tehama,1/13/2020,100
Tulare,1/13/2020,100
Tuolumne,1/13/2020,100
Ventura,1/13/2020,100
Yolo,1/13/2020,100
Yuba,1/13/2020,100
Alameda,1/14/2020,102.85
Amador,1/14/2020,96.24
Butte,1/14/2020,104.07
Calaveras,1/14/2020,93.35
Colusa,1/14/2020,95.78
Contra Costa,1/14/2020,104.51
Del Norte,1/14/2020,98.6
El Dorado,1/14/2020,90.05
Fresno,1/14/2020,97.82
Glenn,1/14/2020,98.34
Humboldt,1/14/2020,100.33
Imperial,1/14/2020,101.53
Inyo,1/14/2020,90.6
Kern,1/14/2020,101.91
Kings,1/14/2020,98.79
Lake,1/14/2020,108.31
Lassen,1/14/2020,82.54
Los Angeles,1/14/2020,105.94
Madera,1/14/2020,95.9
Marin,1/14/2020,103.89
Mariposa,1/14/2020,95.06
Mendocino,1/14/2020,96.36
Merced,1/14/2020,102.86
Mono,1/14/2020,100.87
Monterey,1/14/2020,97.63
Napa,1/14/2020,102.77
Nevada,1/14/2020,88.51
Orange,1/14/2020,106.72
Placer,1/14/2020,100.43
Riverside,1/14/2020,102.15
Sacramento,1/14/2020,102.34
San Benito,1/14/2020,97.68
San Bernardino,1/14/2020,101.51
San Diego,1/14/2020,108.32
San Francisco,1/14/2020,104.71
San Joaquin,1/14/2020,99.05
San Luis Obispo,1/14/2020,102.7
San Mateo,1/14/2020,102.91
Santa Barbara,1/14/2020,104.29
Santa Clara,1/14/2020,104.4
Santa Cruz,1/14/2020,100.63
Shasta,1/14/2020,101.56
Siskiyou,1/14/2020,93.96
Solano,1/14/2020,101.53
