county,state,population,drate,crate,date,fips,cases,deaths,state_death,state_case,case_day,death_day
Los Angeles,California,10039107,30.97885101,813.1798974,1/26/2020,6037,1,0,1,3,1,0
Los Angeles,California,10039107,30.97885101,813.1798974,1/27/2020,6037,1,0,1,3,0,0
Los Angeles,California,10039107,30.97885101,813.1798974,1/28/2020,6037,1,0,1,3,0,0
Los Angeles,California,10039107,30.97885101,813.1798974,1/29/2020,6037,1,0,1,3,0,0
Los Angeles,California,10039107,30.97885101,813.1798974,1/30/2020,6037,1,0,1,3,0,0
Los Angeles,California,10039107,30.97885101,813.1798974,1/31/2020,6037,1,0,1,3,0,0
Los Angeles,California,10039107,30.97885101,813.1798974,2/1/2020,6037,1,0,1,3,0,0
Los Angeles,California,10039107,30.97885101,813.1798974,2/2/2020,6037,1,0,1,3,0,0
Los Angeles,California,10039107,30.97885101,813.1798974,2/3/2020,6037,1,0,1,3,0,0
Los Angeles,California,10039107,30.97885101,813.1798974,2/4/2020,6037,1,0,1,3,0,0
Los Angeles,California,10039107,30.97885101,813.1798974,2/5/2020,6037,1,0,1,3,0,0
Los Angeles,California,10039107,30.97885101,813.1798974,2/6/2020,6037,1,0,1,3,0,0
Los Angeles,California,10039107,30.97885101,813.1798974,2/7/2020,6037,1,0,1,3,0,0
Los Angeles,California,10039107,30.97885101,813.1798974,2/8/2020,6037,1,0,1,3,0,0
Los Angeles,California,10039107,30.97885101,813.1798974,2/9/2020,6037,1,0,1,3,0,0
Los Angeles,California,10039107,30.97885101,813.1798974,2/10/2020,6037,1,0,1,3,0,0
Los Angeles,California,10039107,30.97885101,813.1798974,2/11/2020,6037,1,0,1,3,0,0
Los Angeles,California,10039107,30.97885101,813.1798974,2/12/2020,6037,1,0,1,3,0,0
Los Angeles,California,10039107,30.97885101,813.1798974,2/13/2020,6037,1,0,1,3,0,0
Los Angeles,California,10039107,30.97885101,813.1798974,2/14/2020,6037,1,0,1,3,0,0
Los Angeles,California,10039107,30.97885101,813.1798974,2/15/2020,6037,1,0,1,3,0,0
Los Angeles,California,10039107,30.97885101,813.1798974,2/16/2020,6037,1,0,1,3,0,0
Los Angeles,California,10039107,30.97885101,813.1798974,2/17/2020,6037,1,0,1,3,0,0
Los Angeles,California,10039107,30.97885101,813.1798974,2/18/2020,6037,1,0,1,3,0,0
Los Angeles,California,10039107,30.97885101,813.1798974,2/19/2020,6037,1,0,1,3,0,0
Los Angeles,California,10039107,30.97885101,813.1798974,2/20/2020,6037,1,0,1,3,0,0
Los Angeles,California,10039107,30.97885101,813.1798974,2/21/2020,6037,1,0,1,3,0,0
Los Angeles,California,10039107,30.97885101,813.1798974,2/22/2020,6037,1,0,1,3,0,0
Los Angeles,California,10039107,30.97885101,813.1798974,2/23/2020,6037,1,0,1,3,0,0
Los Angeles,California,10039107,30.97885101,813.1798974,2/24/2020,6037,1,0,1,3,0,0
Los Angeles,California,10039107,30.97885101,813.1798974,2/25/2020,6037,1,0,1,3,0,0
Los Angeles,California,10039107,30.97885101,813.1798974,2/26/2020,6037,1,0,1,3,0,0
Los Angeles,California,10039107,30.97885101,813.1798974,2/27/2020,6037,1,0,1,3,0,0
Los Angeles,California,10039107,30.97885101,813.1798974,2/28/2020,6037,1,0,1,3,0,0
Los Angeles,California,10039107,30.97885101,813.1798974,2/29/2020,6037,1,0,1,3,0,0
Los Angeles,California,10039107,30.97885101,813.1798974,3/1/2020,6037,1,0,1,3,0,0
Los Angeles,California,10039107,30.97885101,813.1798974,3/2/2020,6037,1,0,1,3,0,0
Los Angeles,California,10039107,30.97885101,813.1798974,3/3/2020,6037,1,0,1,3,0,0
Los Angeles,California,10039107,30.97885101,813.1798974,3/4/2020,6037,7,0,1,3,6,0
Los Angeles,California,10039107,30.97885101,813.1798974,3/5/2020,6037,11,0,1,3,4,0
Los Angeles,California,10039107,30.97885101,813.1798974,3/6/2020,6037,13,0,1,3,2,0
Los Angeles,California,10039107,30.97885101,813.1798974,3/7/2020,6037,14,0,1,3,1,0
Los Angeles,California,10039107,30.97885101,813.1798974,3/8/2020,6037,14,0,1,3,0,0
Los Angeles,California,10039107,30.97885101,813.1798974,3/9/2020,6037,19,0,1,3,5,0
Los Angeles,California,10039107,30.97885101,813.1798974,3/10/2020,6037,20,0,1,3,1,0
Los Angeles,California,10039107,30.97885101,813.1798974,3/11/2020,6037,28,1,1,3,8,1
Los Angeles,California,10039107,30.97885101,813.1798974,3/12/2020,6037,32,1,1,3,4,0
Los Angeles,California,10039107,30.97885101,813.1798974,3/13/2020,6037,40,1,1,3,8,0
Los Angeles,California,10039107,30.97885101,813.1798974,3/14/2020,6037,53,1,1,3,13,0
