date,admin_level,admin1,admin2,fips,samples,m50,m50_index
3/1/2020,1,California,State,6,451282,4.122,60
3/2/2020,1,California,State,6,457175,6.725,98
3/3/2020,1,California,State,6,472598,6.842,100
3/4/2020,1,California,State,6,481255,6.827,99
3/5/2020,1,California,State,6,458159,7.27,106
3/6/2020,1,California,State,6,446703,7.649,111
3/7/2020,1,California,State,6,449691,5.97,87
3/8/2020,1,California,State,6,453899,4.292,62
3/9/2020,1,California,State,6,473532,6.339,92
3/10/2020,1,California,State,6,443272,6.522,95
3/11/2020,1,California,State,6,469395,6.591,96
3/12/2020,1,California,State,6,462734,6.159,90
3/13/2020,1,California,State,6,449089,6.232,91
3/14/2020,1,California,State,6,438905,3.512,51
3/15/2020,1,California,State,6,425702,2.195,32
3/16/2020,1,California,State,6,394102,4.541,66
3/17/2020,1,California,State,6,410186,3.222,47
3/18/2020,1,California,State,6,382315,2.848,41
3/19/2020,1,California,State,6,371654,2.003,29
3/20/2020,1,California,State,6,333099,2.498,36
3/21/2020,1,California,State,6,285539,0.721,10
3/22/2020,1,California,State,6,349210,0.267,3
3/23/2020,1,California,State,6,375438,0.961,14
3/24/2020,1,California,State,6,395032,0.779,11
3/25/2020,1,California,State,6,376378,1.046,15
3/26/2020,1,California,State,6,385779,0.922,13
3/27/2020,1,California,State,6,362058,1.553,22
3/28/2020,1,California,State,6,380862,0.251,3
3/29/2020,1,California,State,6,391174,0.05,0
3/30/2020,1,California,State,6,401335,0.609,8
3/31/2020,1,California,State,6,401469,0.75,10
4/1/2020,1,California,State,6,397929,0.807,11
4/2/2020,1,California,State,6,391404,0.899,13
4/3/2020,1,California,State,6,386905,1.354,19
4/4/2020,1,California,State,6,383533,0.23,3
4/5/2020,1,California,State,6,411145,0.033,0
4/6/2020,1,California,State,6,374329,0.151,2
4/7/2020,1,California,State,6,379980,0.354,5
4/8/2020,1,California,State,6,384760,0.361,5
4/9/2020,1,California,State,6,379211,0.121,1
4/10/2020,1,California,State,6,350514,1.011,14
4/11/2020,1,California,State,6,366714,0.383,5
4/12/2020,1,California,State,6,363381,0.031,0
4/13/2020,1,California,State,6,364915,0.512,7
4/14/2020,1,California,State,6,387288,0.622,9
4/15/2020,1,California,State,6,407033,0.8,11
4/16/2020,1,California,State,6,386387,0.96,14
4/17/2020,1,California,State,6,379464,1.504,21
4/18/2020,1,California,State,6,381170,0.37,5
4/19/2020,1,California,State,6,357424,0.111,1
4/21/2020,1,California,State,6,470736,0.473,6
4/22/2020,1,California,State,6,485227,0.497,7
4/23/2020,1,California,State,6,489947,0.458,6
4/24/2020,1,California,State,6,478821,0.723,10
4/25/2020,1,California,State,6,448853,0.154,2
4/26/2020,1,California,State,6,446387,0.041,0
4/27/2020,1,California,State,6,462010,0.408,5
4/28/2020,1,California,State,6,480077,0.403,5
4/29/2020,1,California,State,6,438128,0.649,9
4/30/2020,1,California,State,6,530415,1.051,15
5/1/2020,1,California,State,6,485452,2.001,29
5/2/2020,1,California,State,6,536248,0.856,12
5/3/2020,1,California,State,6,505939,0.523,7
5/4/2020,1,California,State,6,353394,0.68,9
5/5/2020,1,California,State,6,362565,0.644,9
5/6/2020,1,California,State,6,353619,1.087,15
5/7/2020,1,California,State,6,385338,0.258,3
5/8/2020,1,California,State,6,345993,1.121,16
5/9/2020,1,California,State,6,375006,0.258,3
5/10/2020,1,California,State,6,369365,0.132,1
5/11/2020,1,California,State,6,339459,0.149,2
5/12/2020,1,California,State,6,371831,0.383,5
5/13/2020,1,California,State,6,283227,0.494,7
5/14/2020,1,California,State,6,293878,0.653,9
5/15/2020,1,California,State,6,550004,2.113,30
5/16/2020,1,California,State,6,557956,1.53,22
5/17/2020,1,California,State,6,569644,0.312,4
5/18/2020,1,California,State,6,566744,0.892,13
5/19/2020,1,California,State,6,521554,1.29,18
5/20/2020,1,California,State,6,532929,2.327,34
5/21/2020,1,California,State,6,565431,2.424,35
5/22/2020,1,California,State,6,587121,3.156,46
5/23/2020,1,California,State,6,571944,1.915,27
5/24/2020,1,California,State,6,569988,1.311,19
5/25/2020,1,California,State,6,542350,0.892,13
5/26/2020,1,California,State,6,559859,2.25,32
5/27/2020,1,California,State,6,544277,2.508,36
5/28/2020,1,California,State,6,524116,2.767,40
5/30/2020,1,California,State,6,454192,1.162,16
5/31/2020,1,California,State,6,416231,1.147,16
6/1/2020,1,California,State,6,591178,2.292,33
6/2/2020,1,California,State,6,436431,2.149,31
6/3/2020,1,California,State,6,605415,2.655,38
6/4/2020,1,California,State,6,539275,2.816,41
6/5/2020,1,California,State,6,504388,3.258,47
6/6/2020,1,California,State,6,548142,2.742,40
6/7/2020,1,California,State,6,531644,1.625,23
6/8/2020,1,California,State,6,589408,3.273,47
6/9/2020,1,California,State,6,504348,2.974,43
6/10/2020,1,California,State,6,536481,3.109,45
6/11/2020,1,California,State,6,552702,3.363,49
6/12/2020,1,California,State,6,505342,3.073,44
6/13/2020,1,California,State,6,532831,3.175,46
6/14/2020,1,California,State,6,437886,1.996,29
6/15/2020,1,California,State,6,455190,2.638,38
6/16/2020,1,California,State,6,462546,2.536,37
6/17/2020,1,California,State,6,524833,3.336,48
6/18/2020,1,California,State,6,465281,3.677,53
6/19/2020,1,California,State,6,616652,4.544,66
6/20/2020,1,California,State,6,447818,3.397,49
6/21/2020,1,California,State,6,459015,2.068,30
6/22/2020,1,California,State,6,457434,2.904,42
6/23/2020,1,California,State,6,470383,3.537,51
3/1/2020,2,California,Alameda,6001,16737,3.684,58
3/2/2020,2,California,Alameda,6001,17269,6.182,98
3/3/2020,2,California,Alameda,6001,18181,6.271,100
3/4/2020,2,California,Alameda,6001,18495,6.209,99
3/5/2020,2,California,Alameda,6001,17496,6.654,106
3/6/2020,2,California,Alameda,6001,16947,6.704,106
3/7/2020,2,California,Alameda,6001,16911,4.869,77
3/8/2020,2,California,Alameda,6001,17146,3.408,54
3/9/2020,2,California,Alameda,6001,18023,5.5,87
3/10/2020,2,California,Alameda,6001,16721,5.8,92
3/11/2020,2,California,Alameda,6001,17827,5.552,88
3/12/2020,2,California,Alameda,6001,17556,5.361,85
3/13/2020,2,California,Alameda,6001,16949,5.254,83
3/14/2020,2,California,Alameda,6001,16397,2.501,39
3/15/2020,2,California,Alameda,6001,15782,1.304,20
3/16/2020,2,California,Alameda,6001,14667,3.749,59
3/17/2020,2,California,Alameda,6001,15117,0.451,7
3/18/2020,2,California,Alameda,6001,13738,0.68,10
3/19/2020,2,California,Alameda,6001,13632,0.327,5
3/20/2020,2,California,Alameda,6001,11916,1.132,18
3/21/2020,2,California,Alameda,6001,10088,0.052,0
3/22/2020,2,California,Alameda,6001,12676,0.046,0
3/23/2020,2,California,Alameda,6001,13678,0.09,1
3/24/2020,2,California,Alameda,6001,14323,0.042,0
3/25/2020,2,California,Alameda,6001,13643,0.229,3
3/26/2020,2,California,Alameda,6001,14270,0.098,1
3/27/2020,2,California,Alameda,6001,13293,0.303,4
3/28/2020,2,California,Alameda,6001,13757,0.031,0
3/29/2020,2,California,Alameda,6001,14200,0.028,0
3/30/2020,2,California,Alameda,6001,14727,0.05,0
