fips,date,jail_population,county_name,state_name,urbanicity,reporting_jurisdictions,county_population,jail_incarceration_rate_per_100k
6001,3/15/2020,2650,Alameda,California,urban,Alameda County Sheriffs Office,1671329,158.6
6001,3/16/2020,2588,Alameda,California,urban,Alameda County Sheriffs Office,1671329,154.8
6001,3/17/2020,2527,Alameda,California,urban,Alameda County Sheriffs Office,1671329,151.2
6001,3/18/2020,2465,Alameda,California,urban,Alameda County Sheriffs Office,1671329,147.5
6001,3/19/2020,2404,Alameda,California,urban,Alameda County Sheriffs Office,1671329,143.8
6001,3/20/2020,2343,Alameda,California,urban,Alameda County Sheriffs Office,1671329,140.2
6001,3/21/2020,2305,Alameda,California,urban,Alameda County Sheriffs Office,1671329,137.9
6001,3/22/2020,2267,Alameda,California,urban,Alameda County Sheriffs Office,1671329,135.6
6001,3/23/2020,2229,Alameda,California,urban,Alameda County Sheriffs Office,1671329,133.4
6001,3/24/2020,2217,Alameda,California,urban,Alameda County Sheriffs Office,1671329,132.6
6001,3/25/2020,2201,Alameda,California,urban,Alameda County Sheriffs Office,1671329,131.7
6001,3/26/2020,2186,Alameda,California,urban,Alameda County Sheriffs Office,1671329,130.8
6001,3/27/2020,2171,Alameda,California,urban,Alameda County Sheriffs Office,1671329,129.9
6001,3/28/2020,2163,Alameda,California,urban,Alameda County Sheriffs Office,1671329,129.4
6001,3/29/2020,2156,Alameda,California,urban,Alameda County Sheriffs Office,1671329,129
6001,3/30/2020,2149,Alameda,California,urban,Alameda County Sheriffs Office,1671329,128.6
6001,3/31/2020,2132,Alameda,California,urban,Alameda County Sheriffs Office,1671329,127.6
6001,4/1/2020,2110,Alameda,California,urban,Alameda County Sheriffs Office,1671329,126.2
6001,4/2/2020,2089,Alameda,California,urban,Alameda County Sheriffs Office,1671329,125
6001,4/3/2020,2068,Alameda,California,urban,Alameda County Sheriffs Office,1671329,123.7
6001,4/4/2020,2056,Alameda,California,urban,Alameda County Sheriffs Office,1671329,123
6001,4/5/2020,2044,Alameda,California,urban,Alameda County Sheriffs Office,1671329,122.3
6001,4/6/2020,2033,Alameda,California,urban,Alameda County Sheriffs Office,1671329,121.6
6001,4/7/2020,2012,Alameda,California,urban,Alameda County Sheriffs Office,1671329,120.4
6001,4/8/2020,1983,Alameda,California,urban,Alameda County Sheriffs Office,1671329,118.6
6001,4/9/2020,1960,Alameda,California,urban,Alameda County Sheriffs Office,1671329,117.3
6001,4/10/2020,1938,Alameda,California,urban,Alameda County Sheriffs Office,1671329,116
6001,4/11/2020,1914,Alameda,California,urban,Alameda County Sheriffs Office,1671329,114.5
6001,4/12/2020,1925,Alameda,California,urban,Alameda County Sheriffs Office,1671329,115.2
6001,4/13/2020,1929,Alameda,California,urban,Alameda County Sheriffs Office,1671329,115.4
6001,4/14/2020,1896,Alameda,California,urban,Alameda County Sheriffs Office,1671329,113.4
6001,4/15/2020,1801,Alameda,California,urban,Alameda County Sheriffs Office,1671329,107.8
6001,4/16/2020,1796,Alameda,California,urban,Alameda County Sheriffs Office,1671329,107.5
6001,4/17/2020,1803,Alameda,California,urban,Alameda County Sheriffs Office,1671329,107.9
6001,4/18/2020,1811,Alameda,California,urban,Alameda County Sheriffs Office,1671329,108.4
6001,4/19/2020,1763,Alameda,California,urban,Alameda County Sheriffs Office,1671329,105.5
6001,4/20/2020,1775,Alameda,California,urban,Alameda County Sheriffs Office,1671329,106.2
6001,4/21/2020,1773,Alameda,California,urban,Alameda County Sheriffs Office,1671329,106.1
6001,4/22/2020,1751,Alameda,California,urban,Alameda County Sheriffs Office,1671329,104.8
6001,4/23/2020,1745,Alameda,California,urban,Alameda County Sheriffs Office,1671329,104.4
6001,4/24/2020,1763,Alameda,California,urban,Alameda County Sheriffs Office,1671329,105.5
6001,4/25/2020,1726,Alameda,California,urban,Alameda County Sheriffs Office,1671329,103.3
6001,4/26/2020,1738,Alameda,California,urban,Alameda County Sheriffs Office,1671329,104
6001,4/27/2020,1746,Alameda,California,urban,Alameda County Sheriffs Office,1671329,104.5
6001,4/28/2020,1746,Alameda,California,urban,Alameda County Sheriffs Office,1671329,104.5
6001,4/29/2020,1757,Alameda,California,urban,Alameda County Sheriffs Office,1671329,105.1
6001,4/30/2020,1757,Alameda,California,urban,Alameda County Sheriffs Office,1671329,105.1
6001,5/1/2020,1755,Alameda,California,urban,Alameda County Sheriffs Office,1671329,105
