county,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baselines,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Alameda,-4119,-1183,387,-5135,-4237,1855
Amador,-1593,155,-155,0,-2814,-15
Butte,-2416,43,-157,-1300,-2602,850
Calaveras,-2618,832,-210,0,-2600,146
Colusa,-651,89,0,-1493,-2265,0
Contra Costa,-3527,-539,416,-4309,-3698,1574
Del Norte,-214,654,-44,0,-1921,0
El Dorado,-3537,-1317,713,-2420,-3541,1164
Fresno,-2504,135,-1618,-2297,-2741,948
Glenn,-749,828,-85,151,-2320,-12
Humboldt,-3196,-819,1294,-4479,-2778,966
Imperial,-3378,-1569,-4214,-3100,-2792,1238
Inyo,-1717,-394,-1082,0,-2921,0
Kern,-2175,6,795,-1419,-2595,909
Kings,-1865,12,-351,-2260,-2323,809
Lake,-1830,842,89,-1957,-2531,675
Lassen,-611,812,0,0,-1523,0
Los Angeles,-3497,-1048,-2325,-3710,-3344,1524
Madera,-2384,-255,432,1359,-2466,863
Marin,-4218,-1576,-1583,-3900,-4070,1700
Mariposa,-708,-23,-3121,0,-2994,0
Mendocino,-2433,-407,-841,-1964,-2409,724
Merced,-1866,-254,2200,-1597,-2391,882
Modoc,-59,-93,0,0,-1465,0
Mono,-3691,-1431,-1034,-402,-4309,0
Monterey,-3048,-169,-1012,-1631,-2873,1027
Napa,-3163,-1047,1659,-1368,-3319,1124
Nevada,-3557,-865,679,-5417,-2951,885
Orange,-3632,-807,-1643,-3802,-3449,1585
Placer,-3349,-35,1384,-2259,-3454,1249
Plumas,-524,230,0,0,-1606,0
Riverside,-3018,-451,-3222,-2642,-3043,1207
Sacramento,-2990,-296,677,-3893,-3287,1216
San Benito,-2440,-631,-1193,-106,-2784,1012
San Bernardino,-2857,-413,-1630,-2508,-2746,1154
San Diego,-3605,-1132,-2916,-4443,-3484,1527
San Francisco,-5492,-2178,-2512,-5621,-5221,2311
San Joaquin,-2355,23,443,-1652,-2616,1043
San Luis Obispo,-3418,-567,-167,-3509,-3142,1164
San Mateo,-4202,-980,-2405,-6199,-4579,2121
Santa Barbara,-3349,-640,-896,-3358,-3130,1147
Santa Clara,-4490,-1436,423,-5484,-4838,2139
Santa Cruz,-3575,-914,-353,-4353,-3458,1447
Shasta,-2101,442,4690,-1271,-2301,691
Siskiyou,-1200,724,1052,1065,-2188,353
Solano,-2870,-383,-161,-2288,-2866,1221
Sonoma,-3502,-707,-1303,-3283,-3018,1282
Stanislaus,-2438,-75,904,-1328,-2497,938
Sutter,-1552,84,-157,-709,-2720,739
Tehama,-1805,993,-181,-627,-2283,565
Trinity,-295,242,0,0,-1610,0
Tulare,-2295,219,-110,-792,-2434,820
Tuolumne,-2383,718,-3761,0,-2427,555
Ventura,-3306,-1009,-1470,-2599,-3097,1344
Yolo,-3085,-737,1141,-2285,-3364,1343
Yuba,-831,533,2070,-882,-2673,794
