,County,Date,Index
0,Alameda,1/13/2020,100.0
1,Amador,1/13/2020,100.0
2,Butte,1/13/2020,100.0
3,Calaveras,1/13/2020,100.0
4,Colusa,1/13/2020,100.0
5,Contra Costa,1/13/2020,100.0
6,Del Norte,1/13/2020,100.0
7,El Dorado,1/13/2020,100.0
8,Fresno,1/13/2020,100.0
9,Glenn,1/13/2020,100.0
10,Humboldt,1/13/2020,100.0
11,Imperial,1/13/2020,100.0
12,Inyo,1/13/2020,100.0
13,Kern,1/13/2020,100.0
14,Kings,1/13/2020,100.0
15,Lake,1/13/2020,100.0
16,Lassen,1/13/2020,100.0
17,Los Angeles,1/13/2020,100.0
18,Madera,1/13/2020,100.0
19,Marin,1/13/2020,100.0
20,Mariposa,1/13/2020,100.0
21,Mendocino,1/13/2020,100.0
22,Merced,1/13/2020,100.0
23,Mono,1/13/2020,100.0
24,Monterey,1/13/2020,100.0
25,Napa,1/13/2020,100.0
26,Nevada,1/13/2020,100.0
27,Orange,1/13/2020,100.0
28,Placer,1/13/2020,100.0
29,Riverside,1/13/2020,100.0
30,Sacramento,1/13/2020,100.0
31,San Benito,1/13/2020,100.0
32,San Bernardino,1/13/2020,100.0
33,San Diego,1/13/2020,100.0
34,San Francisco,1/13/2020,100.0
35,San Joaquin,1/13/2020,100.0
36,San Luis Obispo,1/13/2020,100.0
37,San Mateo,1/13/2020,100.0
38,Santa Barbara,1/13/2020,100.0
39,Santa Clara,1/13/2020,100.0
40,Santa Cruz,1/13/2020,100.0
41,Shasta,1/13/2020,100.0
42,Siskiyou,1/13/2020,100.0
43,Solano,1/13/2020,100.0
44,Sonoma,1/13/2020,100.0
45,Stanislaus,1/13/2020,100.0
46,Sutter,1/13/2020,100.0
47,Tehama,1/13/2020,100.0
48,Tulare,1/13/2020,100.0
49,Tuolumne,1/13/2020,100.0
50,Ventura,1/13/2020,100.0
51,Yolo,1/13/2020,100.0
52,Yuba,1/13/2020,100.0
53,Alameda,1/14/2020,102.85
54,Amador,1/14/2020,96.24
