date,name,county,TYPE,fips,staff_confirmed_cases,patients_confirmed_cases,staff_deaths,patients_deaths
4/19/2020,EAST BAY POST-ACUTE,Alameda,SN,1,23,25,0,0
4/19/2020,EXCELL HEALTH CARE CENTER,Alameda,SN,1,1,1,0,0
4/19/2020,GARFIELD NEUROBEHAVIORAL CENTER,Alameda,SN,1,1,0,0,0
4/19/2020,GATEWAY CARE & REHABILITATION CENTER,Alameda,SN,1,33,69,0,0
4/19/2020,MERCY RETIREMENT & CARE CENTER,Alameda,SN,1,1,0,0,0
4/19/2020,REDWOOD CONVALESCENT HOSPITAL INC,Alameda,SN,1,1,1,0,0
4/19/2020,REDWOOD HEALTHCARE CENTER LLC,Alameda,SN,1,1,1,0,0
4/19/2020,SAN LEANDRO HEALTHCARE CENTER,Alameda,SN,1,1,1,0,0
4/19/2020,WASHINGTON CENTER,Alameda,SN,1,1,0,0,0
4/19/2020,ORINDA CARE CENTER LLC,Contra Costa,SN,13,28,30,0,0
4/19/2020,AFFINITY HEALTHCARE CENTER,Los Angeles,SN,37,1,1,0,0
4/19/2020,ALAMEDA CARE CENTER,Los Angeles,SN,37,26,20,0,0
4/19/2020,ALCOTT REHABILITATION HOSPITAL,Los Angeles,SN,37,1,0,0,0
4/19/2020,ALDEN TERRACE CONVALESCENT HOSPITAL,Los Angeles,SN,37,1,17,0,0
4/19/2020,ALEXANDRIA CARE CENTER,Los Angeles,SN,37,1,1,0,0
4/19/2020,ALHAMBRA HOSPITAL MEDICAL CENTER D/P SNF,Los Angeles,SN,37,1,0,0,0
4/19/2020,ARARAT CONVALESCENT HOSPITAL,Los Angeles,SN,37,14,1,0,0
4/19/2020,ASTORIA NURSING AND REHAB CENTER,Los Angeles,SN,37,0,1,0,0
4/19/2020,AUTUMN HILLS HEALTH CARE CENTER,Los Angeles,SN,37,1,1,0,0
4/19/2020,BAY CREST CARE CENTER,Los Angeles,SN,37,1,0,0,0
4/19/2020,BEACON HEALTHCARE CENTER,Los Angeles,SN,37,1,0,0,0
4/19/2020,BEL TOOREN VILLA CONVALESCENT HOSPITAL,Los Angeles,SN,37,1,1,0,0
4/19/2020,BIXBY KNOLLS TOWER,Los Angeles,SN,37,1,0,0,0
4/19/2020,BONNIE BRAE CONVALESCENT HOSPITAL,Los Angeles,SN,37,1,13,0,0
4/19/2020,BRIER OAK ON SUNSET,Los Angeles,SN,37,62,80,0,0
4/19/2020,BRIGHTON CARE CENTER,Los Angeles,SN,37,20,43,0,0
4/19/2020,BROADWAY BY THE SEA,Los Angeles,SN,37,14,26,0,0
4/19/2020,BROOKFIELD HEALTHCARE CENTER,Los Angeles,SN,37,1,1,0,0
4/19/2020,BUENA VENTURA POST ACUTE CARE CENTER,Los Angeles,SN,37,1,1,0,0
4/19/2020,BURBANK HEALTHCARE AND REHABILITATION CENTER,Los Angeles,SN,37,1,1,0,0
4/19/2020,BURLINGTON CONVALESCENT HOSPITAL,Los Angeles,SN,37,1,1,0,0
4/19/2020,CALIFORNIA HEALTHCARE AND REHABILITATION CENTER,Los Angeles,SN,37,1,1,0,0
4/19/2020,CALIFORNIA POST-ACUTE CARE,Los Angeles,SN,37,1,1,0,0
4/19/2020,CAMELLIA GARDENS CARE CENTER,Los Angeles,SN,37,1,1,0,0
4/19/2020,CANYON OAKS NURSING AND REHABILITATION CENTER,Los Angeles,SN,37,1,1,0,0
4/19/2020,CENTURY VILLA INC,Los Angeles,SN,37,1,15,0,0
4/19/2020,COLLEGE VISTA POST-ACUTE,Los Angeles,SN,37,1,0,0,0
4/19/2020,COLONIAL CARE CENTER,Los Angeles,SN,37,1,0,0,0
4/19/2020,COLONIAL GARDENS NURSING HOME,Los Angeles,SN,37,0,1,0,0
4/19/2020,COUNTRY VILLA EAST NURSING CENTER,Los Angeles,SN,37,11,1,0,0
4/19/2020,COUNTRY VILLA LOS FELIZ NURSING CENTER,Los Angeles,SN,37,1,0,0,0
4/19/2020,COUNTRY VILLA NORTH CONVALESCENT CENTER,Los Angeles,SN,37,1,1,0,0
4/19/2020,COUNTRY VILLA PAVILION NURSING CENTER,Los Angeles,SN,37,17,45,0,0
4/19/2020,COUNTRY VILLA REHABILITATION CENTER,Los Angeles,SN,37,1,1,0,0
4/19/2020,COUNTRY VILLA SHERATON NURSING AND REHAB CENTER,Los Angeles,SN,37,1,0,0,0
4/19/2020,COUNTRY VILLA SOUTH CONVALESCENT CENTER,Los Angeles,SN,37,15,58,0,0
4/19/2020,COUNTRY VILLA WILSHIRE CONVALESCENT CENTER,Los Angeles,SN,37,1,0,0,0
4/19/2020,COURTYARD CARE CENTER,Los Angeles,SN,37,1,1,0,0
4/19/2020,COVINA REHABILITATION CENTER,Los Angeles,SN,37,11,12,0,0
4/19/2020,CULVER WEST HEALTH CENTER,Los Angeles,SN,37,0,1,0,0
4/19/2020,DEL RIO GARDENS CARE CENTER,Los Angeles,SN,37,1,13,0,0
4/19/2020,DRIFTWOOD HEALTHCARE CENTER,Los Angeles,SN,37,1,1,0,0
4/19/2020,EISENBERG VILLAGE OF THE JEWISH HOMES FOR THE AGIN,Los Angeles,SN,37,1,1,0,0
4/19/2020,EL RANCHO VISTA HEALTH CARE CENTER,Los Angeles,SN,37,1,22,0,0
4/19/2020,EMERALD TERRACE CONVALESCENT HOSPITAL,Los Angeles,SN,37,1,1,0,0
4/19/2020,FLOWER VILLA INC,Los Angeles,SN,37,1,1,0,0
4/19/2020,FOOTHILL HEIGHTS CARE CENTER,Los Angeles,SN,37,0,1,0,0
4/19/2020,FOUNTAIN VIEW SUBACUTE AND NURSING CENTER,Los Angeles,SN,37,1,0,0,0
4/19/2020,FOUR SEASONS HEALTHCARE & WELLNESS CENTER LP,Los Angeles,SN,37,1,0,0,0
4/19/2020,GARDEN CREST REHABILITATION CENTER,Los Angeles,SN,37,35,35,0,0
4/19/2020,GARDENA CONVALESCENT CENTER,Los Angeles,SN,37,18,33,0,0
4/19/2020,GEM TRANSITIONAL CARE CENTER,Los Angeles,SN,37,0,1,0,0
4/19/2020,GLENDALE HEALTHCARE CENTER,Los Angeles,SN,37,1,1,0,0
4/19/2020,GLENDALE POST ACUTE CENTER,Los Angeles,SN,37,1,1,0,0
4/19/2020,GLENHAVEN HEALTHCARE,Los Angeles,SN,37,12,1,0,0
4/19/2020,GLENOAKS CONV HOSPITAL,Los Angeles,SN,37,1,1,0,0
4/19/2020,GOLDEN CROSS HEALTH CARE,Los Angeles,SN,37,1,0,0,0
4/19/2020,GRAND PARK CONVALESCENT HOSPITAL,Los Angeles,SN,37,12,16,0,0
4/19/2020,GREATER EL MONTE COMMUNITY HOSPITAL D/P SNF,Los Angeles,SN,37,0,16,0,0
4/19/2020,HARBOR POST ACUTE CARE CENTER,Los Angeles,SN,37,1,1,0,0
4/19/2020,HAWTHORNE HEALTHCARE & WELLNESS CENTRE LP,Los Angeles,SN,37,0,1,0,0
4/19/2020,HERITAGE REHABILITATION CENTER,Los Angeles,SN,37,1,0,0,0
4/19/2020,HIGH VALLEY LODGE,Los Angeles,SN,37,1,0,0,0
4/19/2020,HIGHLAND PARK SKILLED NURSING & WELLNESS CENTRE,Los Angeles,SN,37,1,1,0,0
4/19/2020,HOLIDAY MANOR CARE CENTER,Los Angeles,SN,37,1,0,0,0
4/19/2020,HOLLYWOOD PREMIER HEALTHCARE CENTER,Los Angeles,SN,37,25,29,0,0
4/19/2020,HUNTINGTON HEALTHCARE CENTER,Los Angeles,SN,37,1,19,0,0
4/19/2020,IMPERIAL CREST HEALTH CARE CENTER,Los Angeles,SN,37,1,1,0,0
4/19/2020,IMPERIAL HEALTHCARE CENTER,Los Angeles,SN,37,1,0,0,0
4/19/2020,INGLEWOOD HEALTH CARE CENTER,Los Angeles,SN,37,1,14,0,0
4/19/2020,JOYCE EISENBERG KEEFER MEDICAL CENTER,Los Angeles,SN,37,1,0,0,0
4/19/2020,KEI-AI LOS ANGELES HEALTHCARE CENTER,Los Angeles,SN,37,1,1,0,0
4/19/2020,KEI-AI SOUTH BAY HEALTHCARE CENTER,Los Angeles,SN,37,23,0,0,0
4/19/2020,KINGSLEY MANOR,Los Angeles,SN,37,1,0,0,0
4/19/2020,LA BREA REHABILITATION CENTER,Los Angeles,SN,37,1,1,0,0
4/19/2020,LA CRESCENTA HEALTHCARE CENTER,Los Angeles,SN,37,1,0,0,0
4/19/2020,LA HABRA CONVALESCENT HOSPITAL,Los Angeles,SN,37,1,0,0,0
4/19/2020,LA PAZ GEROPSYCHIATRIC CENTER,Los Angeles,SN,37,0,1,0,0
4/19/2020,LAWNDALE HEALTHCARE & WELLNESS CENTRE LLC,Los Angeles,SN,37,0,1,0,0
4/19/2020,LEISURE GLEN POST ACUTE CARE CENTER,Los Angeles,SN,37,1,0,0,0
4/19/2020,LIGHTHOUSE HEALTHCARE CENTER,Los Angeles,SN,37,1,0,0,0
4/19/2020,LYNWOOD HEALTHCARE CENTER,Los Angeles,SN,37,27,22,0,0
4/19/2020,MACLAY HEALTHCARE CENTER,Los Angeles,SN,37,0,1,0,0
4/19/2020,MARINA POINTE HEALTHCARE & SUBACUTE,Los Angeles,SN,37,1,1,0,0
4/19/2020,MAYFLOWER CARE CENTER,Los Angeles,SN,37,0,1,0,0
4/19/2020,MAYFLOWER GARDENS CONVALESCENT HOSPITAL,Los Angeles,SN,37,1,1,0,0
4/19/2020,MID-WILSHIRE HEALTH CARE CENTER,Los Angeles,SN,37,1,1,0,0
4/19/2020,MISSION CARE CENTER,Los Angeles,SN,37,1,0,0,0
4/19/2020,MONTE VISTA HEALTHCARE CENTER,Los Angeles,SN,37,1,1,0,0
4/19/2020,MONTECITO HEIGHTS HEALTHCARE & WELLNESS CENTRE LP,Los Angeles,SN,37,1,1,0,0
4/19/2020,MONTROSE HEALTHCARE CENTER,Los Angeles,SN,37,1,1,0,0
4/19/2020,MOTION PICTURE & TELEVISION FUND,Los Angeles,SN,37,1,17,0,0
4/19/2020,NEW VISTA NURSING AND REHABILITATION CENTER,Los Angeles,SN,37,15,18,0,0
4/19/2020,NORTHRIDGE CARE CENTER,Los Angeles,SN,37,1,0,0,0
4/19/2020,NORWALK MEADOWS NURSING CENTER,Los Angeles,SN,37,1,0,0,0
4/19/2020,NORWALK SKILLED NURSING & WELLNESS CENTRE,Los Angeles,SN,37,1,0,0,0
4/19/2020,PACIFIC PALMS HEALTHCARE,Los Angeles,SN,37,12,1,0,0
4/19/2020,PALAZZO POST ACUTE,Los Angeles,SN,37,0,12,0,0
4/19/2020,PARK REGENCY CARE CENTER,Los Angeles,SN,37,1,0,0,0
4/19/2020,PASADENA MEADOWS NURSING CENTER,Los Angeles,SN,37,1,1,0,0
4/19/2020,PASADENA PARK HEALTHCARE AND WELLNESS CENTER,Los Angeles,SN,37,1,0,0,0
4/19/2020,PLAYA DEL REY CENTER,Los Angeles,SN,37,1,1,0,0
4/19/2020,PRESBYTERIAN INTERCOMMUNITY HOSPITAL D/P SNF,Los Angeles,SN,37,1,0,0,0
4/19/2020,PRIMROSE POST-ACUTE,Los Angeles,SN,37,1,1,0,0
4/19/2020,PROVIDENCE LITTLE COMPANY OF MARY TRANSITIONAL CARE CENTER,Los Angeles,SN,37,1,0,0,0
4/19/2020,RINALDI CONVALESCENT HOSPITAL,Los Angeles,SN,37,0,1,0,0
4/19/2020,ROSE GARDEN HEALTHCARE CENTER,Los Angeles,SN,37,12,12,0,0
4/19/2020,ROSE VILLA HEALTHCARE CENTER,Los Angeles,SN,37,1,0,0,0
4/19/2020,ROYAL CARE SKILLED NURSING CENTER,Los Angeles,SN,37,1,1,0,0
4/19/2020,ROYAL CREST HEALTH CARE,Los Angeles,SN,37,1,0,0,0
4/19/2020,ROYAL GARDENS HEALTHCARE,Los Angeles,SN,37,1,0,0,0
4/19/2020,ROYAL PALMS POST ACUTE,Los Angeles,SN,37,1,0,0,0
4/19/2020,ROYALWOOD CARE CENTER,Los Angeles,SN,37,12,31,0,0
4/19/2020,SAN FERNANDO POST ACUTE HOSPITAL,Los Angeles,SN,37,1,1,0,0
4/19/2020,SANTA ANITA CONVALESCENT HOSPITAL,Los Angeles,SN,37,1,1,0,0
4/19/2020,SANTA TERESITA MANOR,Los Angeles,SN,37,1,1,0,0
4/19/2020,SHARON CARE CENTER,Los Angeles,SN,37,1,0,0,0
4/19/2020,SHERMAN OAKS HEALTH & REHABILITATION CENTER,Los Angeles,SN,37,1,1,0,0
4/19/2020,SOLHEIM SENIOR COMMUNITY,Los Angeles,SN,37,1,0,0,0
4/19/2020,SOUTH PASADENA CARE CENTER,Los Angeles,SN,37,1,1,0,0
4/19/2020,SOUTHLAND LIVING,Los Angeles,SN,37,1,0,0,0
4/19/2020,STONEY POINT HEALTHCARE CENTER,Los Angeles,SN,37,1,1,0,0
4/19/2020,STUDIO CITY REHABILITATION CENTER,Los Angeles,SN,37,1,1,0,0
4/19/2020,SUNNYSIDE NURSING CENTER,Los Angeles,SN,37,1,0,0,0
4/19/2020,SUNNYVIEW CARE CENTER,Los Angeles,SN,37,0,1,0,0
4/19/2020,SUNRAY HEALTHCARE CENTER,Los Angeles,SN,37,1,20,0,0
4/19/2020,SYLMAR HEALTH AND REHABILITATION CENTER,Los Angeles,SN,37,0,1,0,0
4/19/2020,THE CALIFORNIAN - PASADENA CONVALESCENT HOSPITAL,Los Angeles,SN,37,1,0,0,0
4/19/2020,THE EARLWOOD,Los Angeles,SN,37,17,24,0,0
4/19/2020,THE ELLISON JOHN TRANSITIONAL CARE CENTER,Los Angeles,SN,37,0,1,0,0
4/19/2020,THE GROVE POST-ACUTE CARE CENTER,Los Angeles,SN,37,11,20,0,0
4/19/2020,THE ORCHARD - POST ACUTE CARE,Los Angeles,SN,37,1,1,0,0
4/19/2020,THE REHABILITATION CENTER OF SANTA MONICA,Los Angeles,SN,37,1,14,0,0
4/19/2020,THE REHABILITATION CENTRE OF BEVERLY HILLS,Los Angeles,SN,37,1,1,0,0
4/19/2020,TORRANCE CARE CENTER WEST INC,Los Angeles,SN,37,15,23,0,0
4/19/2020,UNIVERSITY PARK HEALTHCARE CENTER,Los Angeles,SN,37,0,1,0,0
4/19/2020,VALLEY PALMS CARE CENTER,Los Angeles,SN,37,1,1,0,0
4/19/2020,VALLEY VISTA RESIDENTIAL MANOR LLC,Los Angeles,SN,37,0,1,0,0
4/19/2020,VERDUGO VALLEY SKILLED NURSING & WELLNESS CENTRE,Los Angeles,SN,37,1,1,0,0
4/19/2020,VERNON HEALTHCARE CENTER,Los Angeles,SN,37,0,1,0,0
4/19/2020,VETERANS HOME OF CALIFORNIA - WEST LOS ANGELES,Los Angeles,SN,37,1,1,0,0
4/19/2020,VIRGIL REHABILITATION AND SKILLED NURSING CENTER,Los Angeles,SN,37,14,0,0,0
4/19/2020,WEST HILLS HEALTH AND REHABILITATION CENTER,Los Angeles,SN,37,1,13,0,0
4/19/2020,WESTERN CONVALESCENT HOSPITAL,Los Angeles,SN,37,1,0,0,0
4/19/2020,WHITTIER HILLS HEALTH CARE CENTER,Los Angeles,SN,37,1,1,0,0
4/19/2020,WINDSOR CARE CENTER OF CHEVIOT HILLS,Los Angeles,SN,37,1,1,0,0
4/19/2020,WINDSOR TERRACE HEALTHCARE CENTER,Los Angeles,SN,37,1,14,0,0
4/19/2020,WOODLAND CARE CENTER,Los Angeles,SN,37,0,1,0,0
4/19/2020,PINE RIDGE CARE CENTER,Marin,SN,41,1,0,0,0
4/19/2020,WINDSOR THE RIDGE REHABILITATION CENTER,Monterey,SN,53,1,1,0,0
4/19/2020,ADVANCED REHAB CENTER OF TUSTIN,Orange,SN,59,0,1,0,0
4/19/2020,ALAMITOS WEST HEALTH CARE CENTER,Orange,SN,59,1,0,0,0
4/19/2020,ANAHEIM HEALTHCARE CENTER LLC,Orange,SN,59,0,15,0,0
4/19/2020,FLAGSHIP HEALTHCARE CENTER,Orange,SN,59,1,0,0,0
4/19/2020,FOUNTAIN CARE CENTER,Orange,SN,59,1,0,0,0
