,county,state,population,IcuBeds,StaffedBeds,LicensedBeds
0,Abbeville,SouthCarolina,24527.0,6.0,25.0,25.0
2,Acadia,Louisiana,62045.0,7.0,171.0,186.0
3,Accomack,Virginia,32316.0,10.0,46.0,52.0
4,Ada,Idaho,481587.0,97.0,1195.0,1305.0
5,Adair,Iowa,7152.0,4.0,25.0,25.0
6,Adair,Kentucky,19202.0,0.0,0.0,0.0
7,Adair,Missouri,25343.0,10.0,51.0,93.0
8,Adair,Oklahoma,22194.0,5.0,30.0,67.0
9,Adams,Colorado,511473.0,232.0,1454.0,1559.0
10,Adams,Idaho,4294.0,0.0,0.0,0.0
11,Adams,Illinois,65435.0,25.0,248.0,307.0
12,Adams,Indiana,35777.0,4.0,25.0,25.0
13,Adams,Mississippi,30693.0,15.0,147.0,159.0
14,Adams,Nebraska,31363.0,10.0,127.0,200.0
15,"Adams County, North Dakota, United States",NorthDakota,2216.0,0.0,0.0,0.0
16,Adams,Ohio,27698.0,4.0,25.0,25.0
17,Adams,Pennsylvania,103009.0,8.0,76.0,76.0
18,Adams,Washington,19983.0,5.0,28.0,69.0
19,Adams,Wisconsin,20220.0,4.0,25.0,25.0
20,Addison,Vermont,36777.0,4.0,25.0,45.0
21,Aiken,SouthCarolina,170872.0,35.0,204.0,273.0
24,Aitkin,Minnesota,15886.0,4.0,25.0,25.0
25,Alachua,Florida,269043.0,233.0,1549.0,2050.0
26,Alamance,NorthCarolina,169509.0,20.0,176.0,238.0
27,Alameda,California,1671329.0,331.0,3564.0,3464.0
28,Alamosa,Colorado,16184.0,6.0,49.0,49.0
29,Albany,NewYork,305506.0,116.0,1478.0,1531.0
30,Albany,Wyoming,38880.0,4.0,66.0,99.0
31,Albemarle,Virginia,109330.0,18.0,240.0,266.0
32,Alcona,Michigan,10405.0,0.0,0.0,0.0
33,Alcorn,Mississippi,36953.0,24.0,163.0,200.0
34,Alexander,Illinois,5761.0,0.0,0.0,0.0
35,Alexander,NorthCarolina,37497.0,0.0,0.0,0.0
36,Alexandria,Virginia,159428.0,40.0,339.0,323.0
37,Alfalfa,Oklahoma,5702.0,0.0,0.0,0.0
38,Allamakee,Iowa,13687.0,5.0,25.0,25.0
39,Allegan,Michigan,118081.0,11.0,68.0,68.0
40,Allegany,Maryland,70416.0,14.0,288.0,279.0
41,Allegany,NewYork,46091.0,9.0,69.0,55.0
42,Alleghany,NorthCarolina,11137.0,4.0,25.0,41.0
43,Alleghany,Virginia,14860.0,10.0,95.0,205.0
44,Allegheny,Pennsylvania,1216045.0,638.0,6092.0,7101.0
45,Allen,Indiana,379299.0,235.0,1630.0,1630.0
46,Allen,Kentucky,21315.0,4.0,25.0,25.0
47,Allen,Louisiana,25627.0,7.0,74.0,109.0
48,Allen,Ohio,102351.0,44.0,529.0,816.0
49,Allendale,SouthCarolina,8688.0,4.0,25.0,25.0
51,Alpena,Michigan,28405.0,9.0,128.0,124.0
53,Alpine,California,1129.0,0.0,0.0,0.0
54,Amador,California,39752.0,6.0,52.0,52.0
55,Amelia,Virginia,13145.0,0.0,0.0,0.0
56,Amherst,Virginia,31605.0,0.0,0.0,0.0
57,Amite,Mississippi,12297.0,3.0,16.0,25.0
58,Anchorage,Alaska,288000.0,109.0,979.0,1102.0
59,Anderson,Kansas,7858.0,2.0,12.0,12.0
60,Anderson,Kentucky,22747.0,0.0,0.0,0.0
61,Anderson,SouthCarolina,202558.0,25.0,460.0,721.0
62,Anderson,Tennessee,76978.0,25.0,220.0,317.0
63,Anderson,Texas,57735.0,10.0,150.0,156.0
64,Andrew,Missouri,17712.0,0.0,0.0,0.0
65,Andrews,Texas,18705.0,5.0,30.0,34.0
66,Androscoggin,Maine,108277.0,34.0,361.0,483.0
67,Angelina,Texas,86715.0,43.0,367.0,465.0
69,Anne Arundel,Maryland,579234.0,50.0,483.0,634.0
70,Anoka,Minnesota,356921.0,35.0,666.0,746.0
71,Anson,NorthCarolina,24446.0,3.0,15.0,15.0
72,Antelope,Nebraska,6298.0,4.0,23.0,23.0
73,Antrim,Michigan,23324.0,0.0,0.0,0.0
75,Apache,Arizona,71887.0,29.0,162.0,162.0
76,Appanoose,Iowa,12426.0,3.0,25.0,45.0
77,Appling,Georgia,18386.0,3.0,34.0,49.0
78,Appomattox,Virginia,15911.0,0.0,0.0,0.0
79,Aransas,Texas,23510.0,0.0,0.0,0.0
80,Arapahoe,Colorado,651342.0,148.0,1060.0,1241.0
81,Archuleta,Colorado,13737.0,2.0,11.0,11.0
84,Arenac,Michigan,14883.0,5.0,25.0,25.0
86,Arkansas,Arkansas,17486.0,13.0,74.0,74.0
87,Arlington,Virginia,236842.0,32.0,305.0,394.0
88,Armstrong,Pennsylvania,64735.0,12.0,131.0,147.0
89,Armstrong,Texas,1887.0,0.0,0.0,0.0
90,Aroostook,Maine,67055.0,24.0,166.0,228.0
91,Arthur,Nebraska,463.0,0.0,0.0,0.0
92,Ascension,Louisiana,126604.0,43.0,151.0,151.0
93,Ashe,NorthCarolina,27203.0,4.0,25.0,76.0
94,Ashland,Ohio,53484.0,6.0,39.0,123.0
95,Ashland,Wisconsin,15562.0,4.0,25.0,35.0
96,Ashley,Arkansas,19657.0,6.0,25.0,33.0
97,Ashtabula,Ohio,97241.0,39.0,286.0,431.0
98,Asotin,Washington,22582.0,4.0,25.0,62.0
99,Assumption,Louisiana,21891.0,3.0,15.0,15.0
100,Atascosa,Texas,51153.0,6.0,67.0,67.0
101,Atchison,Kansas,16073.0,4.0,25.0,25.0
102,Atchison,Missouri,5143.0,3.0,16.0,18.0
103,Athens,Ohio,65327.0,11.0,156.0,156.0
104,Atkinson,Georgia,8165.0,0.0,0.0,0.0
105,Atlantic,NewJersey,263670.0,65.0,821.0,557.0
106,Atoka,Oklahoma,13758.0,4.0,25.0,25.0
107,Attala,Mississippi,18174.0,4.0,25.0,25.0
110,Audrain,Missouri,25388.0,7.0,40.0,70.0
111,Audubon,Iowa,5496.0,4.0,25.0,25.0
112,Auglaize,Ohio,45656.0,6.0,36.0,131.0
113,Augusta,Virginia,75558.0,8.0,209.0,238.0
114,Aurora,SouthDakota,2751.0,0.0,0.0,0.0
115,Austin,Texas,30032.0,6.0,32.0,30.0
116,Autauga,Alabama,55869.0,6.0,55.0,85.0
118,Avoyelles,Louisiana,40144.0,6.0,92.0,94.0
119,Baca,Colorado,3547.0,3.0,15.0,23.0
120,Bacon,Georgia,11164.0,4.0,25.0,25.0
121,Bailey,Texas,7000.0,4.0,25.0,25.0
122,Baker,Florida,29210.0,4.0,81.0,1163.0
123,Baker,Georgia,3038.0,0.0,0.0,0.0
124,Baker,Oregon,16124.0,2.0,21.0,36.0
125,Baldwin,Alabama,223234.0,51.0,362.0,386.0
126,Baldwin,Georgia,44890.0,12.0,280.0,365.0
127,Ballard,Kentucky,7888.0,0.0,0.0,0.0
128,Baltimore,Maryland,827370.0,0.0,0.0,0.0
129,Bamberg,SouthCarolina,14066.0,0.0,0.0,0.0
130,Bandera,Texas,23112.0,0.0,0.0,0.0
131,Banks,Georgia,19234.0,0.0,0.0,0.0
132,"Banner County, Nebraska, United States",Nebraska,745.0,0.0,0.0,0.0
133,Bannock,Idaho,87808.0,20.0,137.0,205.0
134,Baraga,Michigan,8209.0,3.0,15.0,15.0
135,Barber,Kansas,4427.0,6.0,32.0,35.0
136,Barbour,Alabama,24686.0,5.0,30.0,74.0
137,Barbour,WestVirginia,16441.0,2.0,12.0,72.0
138,Barnes,NorthDakota,10415.0,4.0,25.0,25.0
140,Barnstable,Massachusetts,212990.0,22.0,410.0,430.0
141,Barnwell,SouthCarolina,20866.0,0.0,0.0,0.0
142,Barren,Kentucky,44249.0,10.0,108.0,180.0
143,Barron,Wisconsin,45244.0,14.0,90.0,90.0
